,,,,,,,,,,
11/28/2015,9:50,FP TOTAL ,TA-CINCINNATI SOUTH 145 RICHWOOD RD.  ,WALTON ,KY  , , ,-135.36,-1,23217.57
11/28/2015,13:12,FP #2S ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  ,102.31,2.56,-261.82,-1, 
11/28/2015,13:12,FP Discount ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  , , ,40.41, , 
11/28/2015,13:12,FP TOTAL ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  , , ,-221.41,-1,22995.16
11/28/2015,18:07,FP #2S ,TA-DENTON TRAVEL CENTER 6420 NORTH I-35 EXIT 471   ,DENTON ,TX  ,125.93,2.44,-307.14,-1, 
11/28/2015,18:07,FP OTH ,TA-DENTON TRAVEL CENTER 6420 NORTH I-35 EXIT 471   ,DENTON ,TX  ,4.46,4,-17.82, , 
11/28/2015,18:07,FP Discount ,TA-DENTON TRAVEL CENTER 6420 NORTH I-35 EXIT 471   ,DENTON ,TX  , , ,5.04, , 
11/28/2015,18:07,FP TOTAL ,TA-DENTON TRAVEL CENTER 6420 NORTH I-35 EXIT 471   ,DENTON ,TX  , , ,-319.92,-1,22674.24
11/28/2015,21:24,FP #2S ,TA-FORISTELL 3265 N SERVICE ROAD EAST   ,FORISTELL ,MO  ,134.71,2.18,-293.53,-1, 
11/28/2015,21:24,FP OTH ,TA-FORISTELL 3265 N SERVICE ROAD EAST   ,FORISTELL ,MO  ,13.07,2.86,-37.37, , 
11/28/2015,21:24,FP OIL ,TA-FORISTELL 3265 N SERVICE ROAD EAST   ,FORISTELL ,MO  ,1,20.5,-20.5, , 
11/28/2015,21:24,FP Discount ,TA-FORISTELL 3265 N SERVICE ROAD EAST   ,FORISTELL ,MO  , , ,44.45, , 
11/28/2015,21:24,FP TOTAL ,TA-FORISTELL 3265 N SERVICE ROAD EAST   ,FORISTELL ,MO  , , ,-306.95,-1,22366.29
11/28/2015,21:56,FP #2S ,"PETRO FUEL #54 I-44 & HWY 43S, EXTI 4  ",JOPLIN ,MO  ,115.06,2.28,-262.23,-1, 
11/28/2015,21:56,FP Discount ,"PETRO FUEL #54 I-44 & HWY 43S, EXTI 4  ",JOPLIN ,MO  , , ,44.87, , 
11/28/2015,21:56,FP TOTAL ,"PETRO FUEL #54 I-44 & HWY 43S, EXTI 4  ",JOPLIN ,MO  , , ,-217.36,-1,22147.93
11/28/2015,23:10,FP #2S ,TA-FORISTELL 3265 N SERVICE ROAD EAST   ,FORISTELL ,MO  ,100.76,2.18,-219.56,-1, 
11/28/2015,23:10,FP Discount ,TA-FORISTELL 3265 N SERVICE ROAD EAST   ,FORISTELL ,MO  , , ,33.25, , 
11/28/2015,23:10,FP TOTAL ,TA-FORISTELL 3265 N SERVICE ROAD EAST   ,FORISTELL ,MO  , , ,-186.31,-1,21960.62
11/29/2015,2:33,FP #2S ,TA-PRESCOTT 1806 HWY 371 W. I-30 EXT.  ,PRESCOTT ,AR  ,127.19,2.34,-297.49,-1, 
11/29/2015,2:33,FP Discount ,TA-PRESCOTT 1806 HWY 371 W. I-30 EXT.  ,PRESCOTT ,AR  , , ,53.29, , 
11/29/2015,2:33,FP TOTAL ,TA-PRESCOTT 1806 HWY 371 W. I-30 EXT.  ,PRESCOTT ,AR  , , ,-244.2,-1,21715.42
11/29/2015,7:21,FP #2S ,TA-LAKE STATION 1201 NORTH RIPLEY STREET   ,LAKE STATION ,IN  ,123.85,2.46,-304.54,-1, 
11/29/2015,7:21,FP Discount ,TA-LAKE STATION 1201 NORTH RIPLEY STREET   ,LAKE STATION ,IN  , , ,79.64, , 
11/29/2015,7:21,FP TOTAL ,TA-LAKE STATION 1201 NORTH RIPLEY STREET   ,LAKE STATION ,IN  , , ,-224.9,-1,21489.52
11/29/2015,8:08,FP #2S ,"TA-WILLINGTON I-84,E XIT 71  ",WILLINGTON ,CT  ,118.66,3.1,-367.72,-1, 
11/29/2015,8:08,FP OTH ,"TA-WILLINGTON I-84,E XIT 71  ",WILLINGTON ,CT  ,6.76,2.96,-20, , 
11/29/2015,8:08,FP Discount ,"TA-WILLINGTON I-84,E XIT 71  ",WILLINGTON ,CT  , , ,97.89, , 
11/29/2015,8:08,FP TOTAL ,"TA-WILLINGTON I-84,E XIT 71  ",WILLINGTON ,CT  , , ,-289.83,-1,21198.69
11/29/2015,11:59,FP #2S ,PETRO: 2 #49 162 LUYBEN HILLS RD.  ,KINGSTON SPRINGS ,TN  ,147.36,2.22,-326.99,-1, 
11/29/2015,11:59,FP Discount ,PETRO: 2 #49 162 LUYBEN HILLS RD.  ,KINGSTON SPRINGS ,TN  , , ,52.46, , 
11/29/2015,11:59,FP TOTAL ,PETRO: 2 #49 162 LUYBEN HILLS RD.  ,KINGSTON SPRINGS ,TN  , , ,-274.53,-1,20923.16
11/29/2015,12:33,FP #2S ,BIG D TRAVEL CENTER 300 N LOOP 12  ,IRVING ,TX  ,142.83,2.1,-299.8,-1, 
11/29/2015,12:33,FP OTH ,BIG D TRAVEL CENTER 300 N LOOP 12  ,IRVING ,TX  ,13.05,2.7,-35.22, , 
11/29/2015,12:33,FP RFR ,BIG D TRAVEL CENTER 300 N LOOP 12  ,IRVING ,TX  ,11.01,2.1,-23.1, , 
11/29/2015,12:33,FP TOTAL ,BIG D TRAVEL CENTER 300 N LOOP 12  ,IRVING ,TX  , , ,-358.12,-1,20564.04
