,,,,,,,,,,
12/29/2015,13:11,FP TOTAL ,TA #254 - BROOKLYN IA FUE 4128 V18 ROAD  ,BROOKLYN ,IA  , , ,-27.92, ,69908.19
12/29/2015,13:28,Check ,  , , , , ,-50000,-4,19904.19
12/29/2015,14:03,FP #2S ,TA-GRAND ISLAND WEST 8033 W HOLLING RD  ,ALDA ,NE  ,61.62,2,-123.18,-1, 
12/29/2015,14:03,FP OTH ,TA-GRAND ISLAND WEST 8033 W HOLLING RD  ,ALDA ,NE  ,5,2.76,-13.79, , 
12/29/2015,14:03,FP RFR ,TA-GRAND ISLAND WEST 8033 W HOLLING RD  ,ALDA ,NE  ,4.08,1.81,-7.39, , 
12/29/2015,14:03,FP Discount ,TA-GRAND ISLAND WEST 8033 W HOLLING RD  ,ALDA ,NE  , , ,22.27, , 
12/29/2015,14:03,FP TOTAL ,TA-GRAND ISLAND WEST 8033 W HOLLING RD  ,ALDA ,NE  , , ,-122.09,-1,19781.1
12/29/2015,14:41,FP #2S ,FLYING J #673 825 NORTH  ,SULLIVAN ,MO  ,51.12,1.96,-100.16,-1, 
12/29/2015,14:41,FP OTH ,FLYING J #673 825 NORTH  ,SULLIVAN ,MO  ,5.05,2.8,-14.14, , 
12/29/2015,14:41,FP TOTAL ,FLYING J #673 825 NORTH  ,SULLIVAN ,MO  , , ,-114.3,-1,19665.8
12/29/2015,15:55,FP #2S ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  ,146.69,1.97,-288.84,-1, 
12/29/2015,15:55,FP Discount ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  , , ,70.7, , 
12/29/2015,15:55,FP TOTAL ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  , , ,-218.14,-1,19446.66
12/29/2015,16:17,FP #2S ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,119.42,1.89,-225.58,-1, 
12/29/2015,16:17,FP OTH ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,11.42,2.86,-32.64, , 
