,,,,,,,,,,
12/1/2015,19:43,FP OTH ,TA-KINGMAN 946 W BEALE STREET  ,KINGMAN ,AZ  ,8.26,2.85,-23.54, , 
12/1/2015,19:43,FP Discount ,TA-KINGMAN 946 W BEALE STREET  ,KINGMAN ,AZ  , , ,32.8, , 
12/1/2015,19:43,FP TOTAL ,TA-KINGMAN 946 W BEALE STREET  ,KINGMAN ,AZ  , , ,-261.39,-1,59142.31
12/1/2015,19:50,FP #2S ,TA-SPARKS 200 NTH MCCARRAN BLVD  ,SPARKS ,NV  ,114.05,2.56,-291.86,-1, 
12/1/2015,19:50,FP OTH ,TA-SPARKS 200 NTH MCCARRAN BLVD  ,SPARKS ,NV  ,3.37,2.85,-9.61, , 
12/1/2015,19:50,FP Discount ,TA-SPARKS 200 NTH MCCARRAN BLVD  ,SPARKS ,NV  , , ,32.39, , 
12/1/2015,19:50,FP TOTAL ,TA-SPARKS 200 NTH MCCARRAN BLVD  ,SPARKS ,NV  , , ,-269.08,-1,58872.23
12/1/2015,19:53,FP #2S ,TA-ONTARIO WEST 4265 EAST GUASTI ROAD  ,ONTARIO ,CA  ,108.2,2.7,-292.03,-1, 
12/1/2015,19:53,FP Discount ,TA-ONTARIO WEST 4265 EAST GUASTI ROAD  ,ONTARIO ,CA  , , ,55.29, , 
12/1/2015,19:53,FP TOTAL ,TA-ONTARIO WEST 4265 EAST GUASTI ROAD  ,ONTARIO ,CA  , , ,-236.74,-1,58634.49
12/1/2015,21:17,FP #2S ,"TA-SANTA ROSA I-40, U.S. 66,54,84 E-277  ",SANTA ROSA ,NM  ,154.99,2.46,-381.13,-1, 
12/1/2015,21:17,FP Discount ,"TA-SANTA ROSA I-40, U.S. 66,54,84 E-277  ",SANTA ROSA ,NM  , , ,51.92, , 
12/1/2015,21:17,FP TOTAL ,"TA-SANTA ROSA I-40, U.S. 66,54,84 E-277  ",SANTA ROSA ,NM  , , ,-329.21,-1,58304.28
12/1/2015,22:29,FP #2S ,TA-SPARTANBURG I-85 EXIT 63  ,DUNCAN ,SC  ,157.06,2.08,-326.53,-1, 
12/1/2015,22:29,FP OTH ,TA-SPARTANBURG I-85 EXIT 63  ,DUNCAN ,SC  ,10.84,2.85,-30.89, , 
12/1/2015,22:29,FP Discount ,TA-SPARTANBURG I-85 EXIT 63  ,DUNCAN ,SC  , , ,43.03, , 
12/1/2015,22:29,FP TOTAL ,TA-SPARTANBURG I-85 EXIT 63  ,DUNCAN ,SC  , , ,-314.39,-1,57988.89
