,,,,,,,,,,
11/13/2015,17:13,FP Discount ,TA-OGALLALA 103 PROSPECTOR DRIVE  ,OGALLALA ,NE  , , ,32.09, , 
11/13/2015,17:13,FP TOTAL ,TA-OGALLALA 103 PROSPECTOR DRIVE  ,OGALLALA ,NE  , , ,-204.55,-1,30527.61
11/13/2015,17:49,FP #2S ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,104.5,2.87,-299.82,-1, 
11/13/2015,17:49,FP OTH ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,2.58,2.86,-7.38, , 
11/13/2015,17:49,FP Discount ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,48.91, , 
11/13/2015,17:49,FP TOTAL ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,-258.29,-1,30268.32
11/13/2015,18:55,FP #2S ,"PETRO FUEL #89 I-94, EXIT 178 & HWY 24  ",CLEARWATER ,MN  ,107.88,2.5,-269.58,-1, 
11/13/2015,18:55,FP OTH ,"PETRO FUEL #89 I-94, EXIT 178 & HWY 24  ",CLEARWATER ,MN  ,8.96,2.9,-25.99, , 
11/13/2015,18:55,FP Discount ,"PETRO FUEL #89 I-94, EXIT 178 & HWY 24  ",CLEARWATER ,MN  , , ,21.25, , 
11/13/2015,18:55,FP TOTAL ,"PETRO FUEL #89 I-94, EXIT 178 & HWY 24  ",CLEARWATER ,MN  , , ,-274.32,-1,29993
11/13/2015,20:03,FP #2S ,SAPP BROS. SALT LAKE CITY 1953 CALIFORNIA AVENUE  ,SALT LAKE CITY ,UT  ,80.02,2.55,-203.99,-1, 
11/13/2015,20:03,FP TOTAL ,SAPP BROS. SALT LAKE CITY 1953 CALIFORNIA AVENUE  ,SALT LAKE CITY ,UT  , , ,-203.99,-1,29788.01
11/13/2015,20:18,FP #2S ,TA-ONTARIO WEST 4265 EAST GUASTI ROAD  ,ONTARIO ,CA  ,70.75,2.73,-193.08,-1, 
11/13/2015,20:18,FP OTH ,TA-ONTARIO WEST 4265 EAST GUASTI ROAD  ,ONTARIO ,CA  ,2.57,2.86,-7.35, , 
11/13/2015,20:18,FP Discount ,TA-ONTARIO WEST 4265 EAST GUASTI ROAD  ,ONTARIO ,CA  , , ,30.28, , 
11/13/2015,20:18,FP TOTAL ,TA-ONTARIO WEST 4265 EAST GUASTI ROAD  ,ONTARIO ,CA  , , ,-170.15,-1,29616.86
11/13/2015,20:21,FP #2S ,SAPP BROS. SALT LAKE CITY 1953 CALIFORNIA AVENUE  ,SALT LAKE CITY ,UT  ,10,2.55,-25.51, , 
11/13/2015,20:21,FP TOTAL ,SAPP BROS. SALT LAKE CITY 1953 CALIFORNIA AVENUE  ,SALT LAKE CITY ,UT  , , ,-25.51, ,29591.35
11/13/2015,20:22,Fuel Purchase Cancel ,  , , , , ,25.51, ,29616.86
11/13/2015,20:27,FP #2S ,SAPP BROS. SALT LAKE CITY 1953 CALIFORNIA AVENUE  ,SALT LAKE CITY ,UT  ,10,2.55,-25.51, , 
11/13/2015,20:27,FP TOTAL ,SAPP BROS. SALT LAKE CITY 1953 CALIFORNIA AVENUE  ,SALT LAKE CITY ,UT  , , ,-25.51, ,29591.35
11/13/2015,21:15,FP #2S ,TA-DALLAS SOUTH 7751 BONNIE VIEW RD  ,DALLAS ,TX  ,81.67,2.38,-194.28,-1, 
11/13/2015,21:15,FP Discount ,TA-DALLAS SOUTH 7751 BONNIE VIEW RD  ,DALLAS ,TX  , , ,36.34, , 
11/13/2015,21:15,FP TOTAL ,TA-DALLAS SOUTH 7751 BONNIE VIEW RD  ,DALLAS ,TX  , , ,-157.94,-1,29432.41
11/13/2015,23:18,FP #2S ,TA-CARTERSVILLE I-75 EXIT 127  ,CARTERSVILLE ,GA  ,172.61,2.37,-408.92,-1, 
11/13/2015,23:18,FP OTH ,TA-CARTERSVILLE I-75 EXIT 127  ,CARTERSVILLE ,GA  ,12.22,2.85,-34.8, , 
11/13/2015,23:18,FP RFR ,TA-CARTERSVILLE I-75 EXIT 127  ,CARTERSVILLE ,GA  ,20.41,2.37,-48.35, , 
11/13/2015,23:18,FP Discount ,TA-CARTERSVILLE I-75 EXIT 127  ,CARTERSVILLE ,GA  , , ,45.36, , 
11/13/2015,23:18,FP TOTAL ,TA-CARTERSVILLE I-75 EXIT 127  ,CARTERSVILLE ,GA  , , ,-446.71,-1,28984.7
11/14/2015,2:37,FP #2S ,TA-WHITESTOWN I 65 & ST RD 334  ,WHITESTOWN ,IN  ,108.52,2.46,-266.85,-1, 
11/14/2015,2:37,FP OTH ,TA-WHITESTOWN I 65 & ST RD 334  ,WHITESTOWN ,IN  ,7.76,2.86,-22.19, , 
11/14/2015,2:37,FP Discount ,TA-WHITESTOWN I 65 & ST RD 334  ,WHITESTOWN ,IN  , , ,47.64, , 
