"Date","Ref/Check","Description","Amount","Balance","Memo","Category"
12/04/2015,,"Daily Ledger Bal",,1348.23,,
12/09/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",2350,3698.23,,
12/09/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",3001,6699.23,,
12/09/2015,,"ACH Payment MANAGEMENT SERV ONLINE TRF",-350,6349.23,,
12/09/2015,,"IB Transfer W/D IB TR TO ACCT *1294 Transfer Online from",-2000,4349.23,,
12/09/2015,,"Daily Ledger Bal",,4349.23,,
12/10/2015,,"ACH Payment ACH PAYMENT GE CAPITAL",-2995.6,1353.63,,
12/10/2015,,"Daily Ledger Bal",,1353.63,,
12/15/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",2350,3703.63,,
12/15/2015,,"ACH Payment MANAGEMENT SERV ONLINE TRF",-350,3353.63,,
12/15/2015,,"IB Transfer W/D IB TR TO ACCT *1294 Transfer Online from",-2000,1353.63,,
12/15/2015,,"Analysis Charge "11 2015 Charge"",-10.9,1342.73,,
12/15/2015,,"Daily Ledger Bal",,1342.73,,
12/24/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",2350,3692.73,,
12/24/2015,,"IB Transfer W/D IB TR TO ACCT *1294 Transfer Online from",-350,3342.73,,
12/24/2015,,"ACH Payment MANAGEMENT SERV ONLINE TRF",-1900,1442.73,,
12/24/2015,,"Daily Ledger Bal",,1442.73,,
12/30/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",2350,3792.73,,
12/30/2015,,"ACH Payment MANAGEMENT SERV ONLINE TRF",-350,3442.73,,
12/30/2015,,"Daily Ledger Bal",,3442.73,,
12/31/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",8701,12143.73,,
12/31/2015,,"IB Transfer W/D IB TR TO ACCT *1294 Transfer Online from",-2000,10143.73,,
12/31/2015,,"Accr Earning Pymt Added to Account",.38,10144.11,,
12/31/2015,,"Daily Ledger Bal",,10144.11,,
