"Date","Ref/Check","Description","Amount","Balance","Memo","Category"
07/27/2015,,"Daily Ledger Bal",,-91.78,,
07/28/2015,,"IB Transfer Deposit IB TR FROM ACCT *0817 Transfer Online to D",200,1704.79,,
07/28/2015,,"IB Transfer Deposit IB TR FROM ACCT *0817 Transfer Online to D",600,2304.79,,
07/28/2015,,"Alliance Payoff MMA to LOC Sweep",-32.41,2272.38,,
07/28/2015,,"Over Limit Charge Item(s) Presented 07/27/2015",-20,2252.38,,
07/28/2015,,"Alliance Payoff LOC to MMA Sweep",32.41,2284.79,,
07/28/2015,,"Daily Ledger Bal",,2284.79,,
07/29/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",5000,7284.79,,
07/29/2015,,"IB Debit IB TR TO ACCT *1294 Transfer Online from",-4000,3284.79,,
07/29/2015,5,"Check",-562.5,2722.29,,
07/29/2015,,"ACH Withdrawal EXT TRF ONLINE",-700,2022.29,,
07/29/2015,,"Daily Ledger Bal",,2022.29,,
07/30/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",10000,12022.29,,
07/30/2015,,"Daily Ledger Bal",,12022.29,,
07/31/2015,,"Alliance Payoff MMA to LOC Sweep",-5267.49,6754.80,,
07/31/2015,,"Accr Earning Pymt Added to Account",3.86,6758.66,,
07/31/2015,,"ACH Withdrawal TRANSFLO EXPRESS PAYABLES DYNAMICS EFT DEPOS",-4.99,6753.67,,
07/31/2015,,"Alliance Payoff LOC to MMA Sweep",5267.49,12021.16,,
07/31/2015,,"Daily Ledger Bal",,12021.16,,
08/03/2015,,"ACH Withdrawal ACH PAYMENT GE CAPITAL",-2886.81,9134.35,,
08/03/2015,,"ACH Withdrawal ACH PAYMENT GE CAPITAL",-2886.81,6247.54,,
08/03/2015,,"ACH Withdrawal ACH PAYMENT GE CAPITAL",-2886.81,3360.73,,
08/03/2015,,"Daily Ledger Bal",,3360.73,,
08/04/2015,,"Alliance Payoff MMA to LOC Sweep",-10024.18,-8747.62,,
08/04/2015,,"IB Debit IB TR TO ACCT *0720 Transfer Online from",-778.75,-9526.37,,
08/04/2015,6,"Check",-585,-10111.37,,
08/04/2015,,"Alliance Payoff LOC to MMA Sweep",10024.18,-87.19,,
08/04/2015,,"Daily Ledger Bal",,-87.19,,
