  Date    ,Time,Description,Location,City,State,Product Qty,Unit Cost,Amount,        Fee,Balance
07/07/15 ,00:23 ,FP TOTAL ,TA-SANTA NELLA 12310 S HWY 33 & I-5  ,SANTA NELLA ,CA  ,,, -62.40, -1.00, 61481.00
07/07/15 ,05:18 ,FP #2S ,TA-CORNING I-5 AT SOUTH AVE.  ,CORNING ,CA  , 200.00, 3.02, -603.81, -1.00,
07/07/15 ,05:18 ,FP Discount ,TA-CORNING I-5 AT SOUTH AVE.  ,CORNING ,CA  ,,, 69.80,,
07/07/15 ,05:18 ,FP TOTAL ,TA-CORNING I-5 AT SOUTH AVE.  ,CORNING ,CA  ,,, -534.01, -1.00, 60945.99
07/07/15 ,06:15 ,FP #2S ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  , 82.20, 2.98, -244.88, -1.00,
07/07/15 ,06:15 ,FP Discount ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  ,,, 36.09,,
07/07/15 ,06:15 ,FP TOTAL ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  ,,, -208.79, -1.00, 60736.20
07/07/15 ,08:52 ,FP #2S ,PETRO FUEL #14 I-295 EXIT 56/EXIT 7 @ NJ  ,BORDENTOWN ,NJ  , 126.21, 2.84, -358.30, -1.00,
07/07/15 ,08:52 ,FP RFR ,PETRO FUEL #14 I-295 EXIT 56/EXIT 7 @ NJ  ,BORDENTOWN ,NJ  , 22.13, 2.84, -62.83,,
07/07/15 ,08:52 ,FP Discount ,PETRO FUEL #14 I-295 EXIT 56/EXIT 7 @ NJ  ,BORDENTOWN ,NJ  ,,, 69.43,,
07/07/15 ,08:52 ,FP TOTAL ,PETRO FUEL #14 I-295 EXIT 56/EXIT 7 @ NJ  ,BORDENTOWN ,NJ  ,,, -351.70, -1.00, 60383.50
07/07/15 ,16:33 ,FP #2S ,TA-BARSTOW 2930 LENWOOD RD  ,BARSTOW ,CA  , 66.37, 3.02, -200.36, -1.00,
07/07/15 ,16:33 ,FP OTH ,TA-BARSTOW 2930 LENWOOD RD  ,BARSTOW ,CA  , 2.59, 2.85, -7.37,,
07/07/15 ,16:33 ,FP Discount ,TA-BARSTOW 2930 LENWOOD RD  ,BARSTOW ,CA  ,,, 21.57,,
07/07/15 ,16:33 ,FP TOTAL ,TA-BARSTOW 2930 LENWOOD RD  ,BARSTOW ,CA  ,,, -186.16, -1.00, 60196.34
07/07/15 ,17:25 ,Load ,  ,,,,, 32314.20, -4.00, 92506.54
07/07/15 ,19:43 ,FP #2S ,TA-WYTHEVILLE 1025 PEPPERSFERRY RD  ,WYTHEVILLE ,VA  , 136.35, 2.73, -372.10, -1.00,
07/07/15 ,19:43 ,FP OTH ,TA-WYTHEVILLE 1025 PEPPERSFERRY RD  ,WYTHEVILLE ,VA  , 4.61, 2.85, -13.13,,
07/07/15 ,19:43 ,FP RFR ,TA-WYTHEVILLE 1025 PEPPERSFERRY RD  ,WYTHEVILLE ,VA  , 22.62, 2.73, -61.73,,
07/07/15 ,19:43 ,FP Discount ,TA-WYTHEVILLE 1025 PEPPERSFERRY RD  ,WYTHEVILLE ,VA  ,,, 55.96,,
07/07/15 ,19:43 ,FP TOTAL ,TA-WYTHEVILLE 1025 PEPPERSFERRY RD  ,WYTHEVILLE ,VA  ,,, -391.00, -1.00, 92114.54
07/07/15 ,22:52 ,FP #2S ,TA-BALTIMORE SOUTH 7401 ASSATEAGUE DRIVE  ,JESSUP ,MD  , 115.81, 3.38, -391.34, -1.00,
07/07/15 ,22:52 ,FP Discount ,TA-BALTIMORE SOUTH 7401 ASSATEAGUE DRIVE  ,JESSUP ,MD  ,,, 103.19,,
07/07/15 ,22:52 ,FP TOTAL ,TA-BALTIMORE SOUTH 7401 ASSATEAGUE DRIVE  ,JESSUP ,MD  ,,, -288.15, -1.00, 91825.39
07/08/15 ,04:01 ,FP #2S ,TA-DAYTON 6762 ST. RT. 127 N.  ,EATON ,OH  , 175.64, 2.89, -507.42, -1.00,
07/08/15 ,04:01 ,FP OTH ,TA-DAYTON 6762 ST. RT. 127 N.  ,EATON ,OH  , 16.13, 2.85, -45.94,,
07/08/15 ,04:01 ,FP RFR ,TA-DAYTON 6762 ST. RT. 127 N.  ,EATON ,OH  , 15.15, 2.89, -43.76,,
07/08/15 ,04:01 ,FP Discount ,TA-DAYTON 6762 ST. RT. 127 N.  ,EATON ,OH  ,,, 96.52,,
07/08/15 ,04:01 ,FP TOTAL ,TA-DAYTON 6762 ST. RT. 127 N.  ,EATON ,OH  ,,, -500.60, -1.00, 91323.79
07/08/15 ,07:44 ,FP #2S ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  , 145.21, 2.79, -404.99, -1.00,
07/08/15 ,07:44 ,FP OTH ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  , 5.17, 2.85, -14.74,,
07/08/15 ,07:44 ,FP RFR ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  , 17.28, 2.79, -48.18,,
07/08/15 ,07:44 ,FP Discount ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  ,,, 17.53,,
07/08/15 ,07:44 ,FP TOTAL ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  ,,, -450.38, -1.00, 90872.41
07/08/15 ,10:54 ,Check ,  ,,,,, -60000.00, -1.50, 30870.91
07/08/15 ,10:56 ,FP #2S ,TA-OAK GROVE 100 N. BROADWAY  ,OAK GROVE ,MO  , 114.89, 2.55, -292.85, -1.00,
07/08/15 ,10:56 ,FP OTH ,TA-OAK GROVE 100 N. BROADWAY  ,OAK GROVE ,MO  , 7.65, 2.86, -21.88,,
07/08/15 ,10:56 ,FP Discount ,TA-OAK GROVE 100 N. BROADWAY  ,OAK GROVE ,MO  ,,, 41.59,,
