"Date","Ref/Check","Description","Amount","Balance","Memo","Category"
10/23/2015,,"Daily Ledger Bal",,368.61,,
10/27/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",101,469.61,,
10/27/2015,,"ACH Payment MANAGEMENT SERV ONLINE TRF",-100,369.61,,
10/27/2015,,"Daily Ledger Bal",,369.61,,
10/29/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",601,970.61,,
10/29/2015,,"ACH Payment MANAGEMENT SERV ONLINE TRF",-607.5,363.11,,
10/29/2015,,"Daily Ledger Bal",,363.11,,
10/31/2015,,"Accr Earning Pymt Added to Account",.17,363.28,,
10/31/2015,,"Daily Ledger Bal",,363.28,,
11/04/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",701,1064.28,,
11/04/2015,,"ACH Payment MANAGEMENT SERV ONLINE TRF",-702,362.28,,
11/04/2015,,"Daily Ledger Bal",,362.28,,
11/05/2015,,"ACH Payment MANAGEMENT SERV ONLINE TRF",-100,262.28,,
11/05/2015,,"Daily Ledger Bal",,262.28,,
11/09/2015,,"ACH Deposit MANAGEMENT SERV ONLINE TRF",4000,4262.28,,
11/09/2015,,"IB Transfer W/D IB TR TO ACCT *3068 Transfer Online from",-4001,261.28,,
11/09/2015,,"Daily Ledger Bal",,261.28,,
11/10/2015,,"ACH Payment MANAGEMENT SERV ONLINE TRF",-100,161.28,,
11/10/2015,,"Daily Ledger Bal",,161.28,,
11/12/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",6601,6762.28,,
11/12/2015,,"ACH Payment MANAGEMENT SERV ONLINE TRF",-587.25,6175.03,,
11/12/2015,,"ACH Payment MANAGEMENT SERV ONLINE TRF",-3000,3175.03,,
11/12/2015,,"Daily Ledger Bal",,3175.03,,
11/13/2015,,"ACH Payment MANAGEMENT SERV ONLINE TRF",-3000,175.03,,
11/13/2015,,"Daily Ledger Bal",,175.03,,
11/18/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",701,876.03,,
11/18/2015,,"ACH Payment MANAGEMENT SERV ONLINE TRF",-100,776.03,,
11/18/2015,,"ACH Payment MANAGEMENT SERV ONLINE TRF",-648,128.03,,
11/18/2015,,"Daily Ledger Bal",,128.03,,
