,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
10/31/2015,22:30,FP TOTAL ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,-335.17,-1,28108.05
11/1/2015,0:06,FP #2S ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  ,138.79,2.6,-360.72,-1, 
11/1/2015,0:06,FP Discount ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,36.36, , 
11/1/2015,0:06,FP TOTAL ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,-324.36,-1,27782.69
11/1/2015,0:22,FP #2S ,TA-SWEETWATER 100 SOUTH HOPKINS RD  ,SWEETWATER ,TX  ,128.52,2.3,-295.47,-1, 
11/1/2015,0:22,FP Discount ,TA-SWEETWATER 100 SOUTH HOPKINS RD  ,SWEETWATER ,TX  , , ,31.87, , 
11/1/2015,0:22,FP TOTAL ,TA-SWEETWATER 100 SOUTH HOPKINS RD  ,SWEETWATER ,TX  , , ,-263.6,-1,27518.09
11/1/2015,0:22,FP #2S ,PILOT #141 I-80 EXIT 6  ,EVANSTON ,WY  ,43.05,2.54,-109.31,-1, 
11/1/2015,0:22,FP TOTAL ,PILOT #141 I-80 EXIT 6  ,EVANSTON ,WY  , , ,-109.31,-1,27407.78
11/1/2015,0:31,FP #2S ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,111.21,2.66,-295.38,-1, 
11/1/2015,0:31,FP OTH ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,3.78,2.86,-10.82, , 
11/1/2015,0:31,FP RFR ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,9.94,2.66,-26.4, , 
11/1/2015,0:31,FP Discount ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,55.73, , 
11/1/2015,0:31,FP TOTAL ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,-276.87,-1,27129.91
11/1/2015,2:14,FP #2S ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  ,163.7,2.6,-425.46,-1, 
11/1/2015,2:14,FP OTH ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  ,6.53,2.86,-18.67, , 
11/1/2015,2:14,FP RFR ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  ,17,2.6,-44.18, , 
11/1/2015,2:14,FP Discount ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,47.34, , 
11/1/2015,2:14,FP TOTAL ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,-440.97,-1,26687.94
11/1/2015,2:20,FP #2S ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,134.44,2.51,-337.31,-1, 
11/1/2015,2:20,FP RFR ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,25.51,2.51,-64.01, , 
11/1/2015,2:20,FP Discount ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,50.06, , 
11/1/2015,2:20,FP TOTAL ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,-351.26,-1,26335.68
11/1/2015,2:56,FP #2S ,PETRO FUEL #3 I-80 & CURTIS RD EXIT 310  ,LARAMIE ,WY  ,132.91,2.42,-321.51,-1, 
11/1/2015,2:56,FP OTH ,PETRO FUEL #3 I-80 & CURTIS RD EXIT 310  ,LARAMIE ,WY  ,13.8,2.86,-39.46, , 
11/1/2015,2:56,FP Discount ,PETRO FUEL #3 I-80 & CURTIS RD EXIT 310  ,LARAMIE ,WY  , , ,17.68, , 
11/1/2015,2:56,FP TOTAL ,PETRO FUEL #3 I-80 & CURTIS RD EXIT 310  ,LARAMIE ,WY  , , ,-343.29,-1,25991.39
11/1/2015,11:18,FP #2S ,PETRO DEMING (FUEL) 14150 HWY 418 SW  ,DEMING ,NM  ,75,2.47,-185.18,-1, 
11/1/2015,11:18,FP Discount ,PETRO DEMING (FUEL) 14150 HWY 418 SW  ,DEMING ,NM  , , ,22.13, , 
11/1/2015,11:18,FP TOTAL ,PETRO DEMING (FUEL) 14150 HWY 418 SW  ,DEMING ,NM  , , ,-163.05,-1,25827.34
11/1/2015,16:29,FP #2S ,TA-MORIARTY 1700 US RT 66 WEST  ,MORIARTY ,NM  ,50.42,2.44,-122.97,-1, 
11/1/2015,16:29,FP Discount ,TA-MORIARTY 1700 US RT 66 WEST  ,MORIARTY ,NM  , , ,15.53, , 
11/1/2015,16:29,FP TOTAL ,TA-MORIARTY 1700 US RT 66 WEST  ,MORIARTY ,NM  , , ,-107.44,-1,25718.9
11/1/2015,16:32,FP #2S ,TA-BLOOMSBURG EXIT 232 I-80  ,BLOOMSBURG ,PA  ,136.45,2.7,-368.27,-1, 
11/1/2015,16:32,FP OTH ,TA-BLOOMSBURG EXIT 232 I-80  ,BLOOMSBURG ,PA  ,18.11,2.85,-51.6, , 
11/1/2015,16:32,FP RFR ,TA-BLOOMSBURG EXIT 232 I-80  ,BLOOMSBURG ,PA  ,10.24,2.7,-27.63, , 
11/1/2015,16:32,FP Discount ,TA-BLOOMSBURG EXIT 232 I-80  ,BLOOMSBURG ,PA  , , ,25.22, , 
11/1/2015,16:32,FP TOTAL ,TA-BLOOMSBURG EXIT 232 I-80  ,BLOOMSBURG ,PA  , , ,-422.28,-1,25295.62
11/1/2015,16:34,FP #2S ,TA-YOUNGSTOWN 5400 76TH DR  ,YOUNGSTOWN ,OH  ,65.67,2.58,-169.36,-1, 
11/1/2015,16:34,FP OTH ,TA-YOUNGSTOWN 5400 76TH DR  ,YOUNGSTOWN ,OH  ,2.59,2.85,-7.37, , 
11/1/2015,16:34,FP RFR ,TA-YOUNGSTOWN 5400 76TH DR  ,YOUNGSTOWN ,OH  ,8.07,2.58,-20.81, , 
11/1/2015,16:34,FP Discount ,TA-YOUNGSTOWN 5400 76TH DR  ,YOUNGSTOWN ,OH  , , ,22.05, , 
11/1/2015,16:34,FP TOTAL ,TA-YOUNGSTOWN 5400 76TH DR  ,YOUNGSTOWN ,OH  , , ,-175.49,-1,25119.13
11/1/2015,18:01,FP #2S ,PETRO FUEL #62 / YORK 4700 S LINCOLN  ,YORK ,NE  ,90.99,2.52,-229.2,-1, 
11/1/2015,18:01,FP Discount ,PETRO FUEL #62 / YORK 4700 S LINCOLN  ,YORK ,NE  , , ,32.85, , 
11/1/2015,18:01,FP TOTAL ,PETRO FUEL #62 / YORK 4700 S LINCOLN  ,YORK ,NE  , , ,-196.35,-1,24921.78
11/1/2015,18:37,FP #2S ,"TA-COUNCIL BLUFFS HWY 192, I-80 & I-29  ",COUNCIL BLUFFS ,IA  ,170.77,2.52,-430.17,-1, 
11/1/2015,18:37,FP Discount ,"TA-COUNCIL BLUFFS HWY 192, I-80 & I-29  ",COUNCIL BLUFFS ,IA  , , ,46.62, , 
11/1/2015,18:37,FP TOTAL ,"TA-COUNCIL BLUFFS HWY 192, I-80 & I-29  ",COUNCIL BLUFFS ,IA  , , ,-383.55,-1,24537.23
11/1/2015,22:38,FP #2S ,TA-BARSTOW 2930 LENWOOD RD  ,BARSTOW ,CA  ,118.78,2.72,-322.95,-1, 
11/1/2015,22:38,FP OTH ,TA-BARSTOW 2930 LENWOOD RD  ,BARSTOW ,CA  ,3.78,2.86,-10.8, , 
11/1/2015,22:38,FP Discount ,TA-BARSTOW 2930 LENWOOD RD  ,BARSTOW ,CA  , , ,44.54, , 
11/1/2015,22:38,FP TOTAL ,TA-BARSTOW 2930 LENWOOD RD  ,BARSTOW ,CA  , , ,-289.21,-1,24247.02
