,,,,,,,,,,
12/20/2015,6:15,FP TOTAL ,TA-SAN ANTONIO 6170 IH-10 EAST  ,SAN ANTONIO ,TX  , , ,-266.85,-1,41081.66
12/20/2015,6:21,FP #2S ,PETRO WELLS (FUEL) 1440 6TH ST  ,WELLS ,NV  ,170.02,2.5,-424.87,-1, 
12/20/2015,6:21,FP Discount ,PETRO WELLS (FUEL) 1440 6TH ST  ,WELLS ,NV  , , ,90.45, , 
12/20/2015,6:21,FP TOTAL ,PETRO WELLS (FUEL) 1440 6TH ST  ,WELLS ,NV  , , ,-334.42,-1,40746.24
12/20/2015,8:01,FP #2S ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,68.21,2.46,-167.73,-1, 
12/20/2015,8:01,FP OTH ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,3.11,3,-9.32, , 
12/20/2015,8:01,FP Discount ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,41.2, , 
12/20/2015,8:01,FP TOTAL ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,-135.85,-1,40609.39
12/20/2015,10:28,FP #2S ,SAPP BROS. SALT LAKE CITY 1953 CALIFORNIA AVENUE  ,SALT LAKE CITY ,UT  ,25.13,2.45,-61.56,-1, 
12/20/2015,10:28,FP OTH ,SAPP BROS. SALT LAKE CITY 1953 CALIFORNIA AVENUE  ,SALT LAKE CITY ,UT  ,14.36,2.6,-37.33, , 
12/20/2015,10:28,FP TOTAL ,SAPP BROS. SALT LAKE CITY 1953 CALIFORNIA AVENUE  ,SALT LAKE CITY ,UT  , , ,-98.89,-1,40509.5
12/20/2015,12:28,FP #2S ,FLYING J #772 885 NORTH POINT CIRCLE  ,NORTH SALT LAKE ,UT  ,108.03,2.46,-265.67,-1, 
12/20/2015,12:28,FP TOTAL ,FLYING J #772 885 NORTH POINT CIRCLE  ,NORTH SALT LAKE ,UT  , , ,-265.67,-1,40242.83
12/20/2015,14:12,FP #2S ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,75,2.67,-200.18,-1, 
12/20/2015,14:12,FP Discount ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,50.85, , 
12/20/2015,14:12,FP TOTAL ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,-149.33,-1,40092.5
12/20/2015,14:23,FP #2S ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  ,120.15,2.04,-244.99,-1, 
12/20/2015,14:23,FP Discount ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  , , ,74.97, , 
12/20/2015,14:23,FP TOTAL ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  , , ,-170.02,-1,39921.48
12/20/2015,15:50,FP #2S ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  ,166.78,2.4,-400.1,-1, 
12/20/2015,15:50,FP OTH ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  ,10.93,2.85,-31.15, , 
12/20/2015,15:50,FP Discount ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  , , ,102.57, , 
12/20/2015,15:50,FP TOTAL ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  , , ,-328.68,-1,39591.8
12/20/2015,15:56,FP #2S ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  ,153.74,2.48,-381.13,-1, 
12/20/2015,15:56,FP Discount ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  , , ,96.24, , 
12/20/2015,15:56,FP TOTAL ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  , , ,-284.89,-1,39305.91
12/20/2015,16:19,FP #2S ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,55.92,2.46,-137.51,-1, 
