"Date","Ref/Check","Description","Amount","Balance","Memo","Category"
12/04/2015,,"ACH Payment ADP PAYROLL FEES ADP - FEES",-52.09,419.06,,
12/04/2015,,"Daily Ledger Bal",,419.06,,
12/07/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",2901,3320.06,,
12/07/2015,,"ACH Payment ADP EEPAY/GARNWC EEPAY/GARN",-5.95,3314.11,,
12/07/2015,,"ACH Payment ADP Tax/401k Tax/401k",-690.05,2624.06,,
12/07/2015,,"ACH Payment ADP EEPAY/GARNWC EEPAY/GARN",-2528.06,96.00,,
12/07/2015,,"Daily Ledger Bal",,96,,
12/10/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",3001,3097.00,,
12/10/2015,,"Daily Ledger Bal",,3097,,
12/11/2015,,"ACH Payment ADP PAYROLL FEES ADP - FEES",-52.09,3044.91,,
12/11/2015,,"ACH Payment CAPITAL ONE ONLINE PMT",-3000,44.91,,
12/11/2015,,"Daily Ledger Bal",,44.91,,
12/14/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",4401,4445.91,,
12/14/2015,,"ACH Payment ADP EEPAY/GARNWC EEPAY/GARN",-8.03,4437.88,,
12/14/2015,,"ACH Payment ADP Tax/401k Tax/401k",-961.56,3476.32,,
12/14/2015,,"ACH Payment ADP EEPAY/GARNWC EEPAY/GARN",-3388.79,87.53,,
12/14/2015,,"Daily Ledger Bal",,87.53,,
12/15/2015,,"Analysis Charge "11 2015 Charge"",-11.54,75.99,,
12/15/2015,,"Daily Ledger Bal",,75.99,,
12/18/2015,,"ACH Payment ADP PAYROLL FEES ADP - FEES",-52.09,23.90,,
12/18/2015,,"Daily Ledger Bal",,23.9,,
12/21/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",21001,21024.90,,
12/21/2015,,"ACH Payment ADP EEPAY/GARNWC EEPAY/GARN",-37.72,20987.18,,
12/21/2015,,"ACH Payment ADP Tax/401k Tax/401k",-4021.61,16965.57,,
12/21/2015,,"ACH Payment ADP EEPAY/GARNWC EEPAY/GARN",-16326.04,639.53,,
12/21/2015,,"Daily Ledger Bal",,639.53,,
12/28/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",7501,8140.53,,
12/28/2015,,"ACH Payment ADP PAYROLL FEES ADP - FEES",-33.33,8107.20,,
12/28/2015,,"ACH Payment ADP PAYROLL FEES ADP - FEES",-52.09,8055.11,,
12/28/2015,,"Daily Ledger Bal",,8055.11,,
12/29/2015,,"ACH Payment ADP EEPAY/GARNWC EEPAY/GARN",-8.16,8046.95,,
12/29/2015,,"ACH Payment ADP Tax/401k Tax/401k",-922.08,7124.87,,
12/29/2015,,"ACH Payment CAPITAL ONE ONLINE PMT",-3000,4124.87,,
12/29/2015,,"ACH Payment ADP EEPAY/GARNWC EEPAY/GARN",-3497.72,627.15,,
12/29/2015,,"Daily Ledger Bal",,627.15,,
12/31/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",3201,3828.15,,
12/31/2015,,"Accr Earning Pymt Added to Account",.17,3828.32,,
12/31/2015,,"Daily Ledger Bal",,3828.32,,
