,,,,,,,,,,
7/29/2015,20:59,FP Discount ,TA-ERIE 4050 DEPOT ROAD  ,ERIE ,PA  , , ,69.97, , 
7/29/2015,20:59,FP TOTAL ,TA-ERIE 4050 DEPOT ROAD  ,ERIE ,PA  , , ,-387.73,-1,46146.51
7/29/2015,22:42,FP #2S ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,128.94,2.42,-311.9,-1, 
7/29/2015,22:42,FP OTH ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,4.06,2.86,-11.62, , 
7/29/2015,22:42,FP RFR ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,14.05,2.42,-33.99, , 
7/29/2015,22:42,FP Discount ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,51.05, , 
7/29/2015,22:42,FP TOTAL ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,-306.46,-1,45839.05
7/29/2015,22:42,FP #2S ,PETRO FUEL #61 4510 19TH AVE. S.W.  ,FARGO ,ND  ,109.86,2.65,-291.01,-1, 
7/29/2015,22:42,FP OTH ,PETRO FUEL #61 4510 19TH AVE. S.W.  ,FARGO ,ND  ,9.27,2.8,-25.94, , 
7/29/2015,22:42,FP RFR ,PETRO FUEL #61 4510 19TH AVE. S.W.  ,FARGO ,ND  ,5.01,2.65,-13.28, , 
7/29/2015,22:42,FP Discount ,PETRO FUEL #61 4510 19TH AVE. S.W.  ,FARGO ,ND  , , ,42.28, , 
7/29/2015,22:42,FP TOTAL ,PETRO FUEL #61 4510 19TH AVE. S.W.  ,FARGO ,ND  , , ,-287.95,-1,45550.1
7/29/2015,23:09,FP #2S ,"AKAL TRAVEL PLAZA RT. 1, BOX 973-2  ",DELANO ,CA  ,40,2.8,-111.97,-1, 
7/29/2015,23:09,FP TOTAL ,"AKAL TRAVEL PLAZA RT. 1, BOX 973-2  ",DELANO ,CA  , , ,-111.97,-1,45437.13
