,,,,,,,,,,
11/25/2015,17:58,FP #2S ,TA-WHEELER RIDGE 5552 WHEELER RIDGE ROAD  ,ARVIN ,CA  ,67.11,2.7,-181.13,-1, 
11/25/2015,17:58,FP OTH ,TA-WHEELER RIDGE 5552 WHEELER RIDGE ROAD  ,ARVIN ,CA  ,15.58,2.86,-44.53, , 
11/25/2015,17:58,FP Discount ,TA-WHEELER RIDGE 5552 WHEELER RIDGE ROAD  ,ARVIN ,CA  , , ,27.52, , 
11/25/2015,17:58,FP TOTAL ,TA-WHEELER RIDGE 5552 WHEELER RIDGE ROAD  ,ARVIN ,CA  , , ,-198.14,-1,38362.83
11/25/2015,17:59,FP #2S ,PETRO FUEL #30 I-65 EXIT 86  ,GLENDALE ,KY  ,81.26,2.48,-201.45,-1, 
11/25/2015,17:59,FP OTH ,PETRO FUEL #30 I-65 EXIT 86  ,GLENDALE ,KY  ,2.49,2.85,-7.09, , 
11/25/2015,17:59,FP Discount ,PETRO FUEL #30 I-65 EXIT 86  ,GLENDALE ,KY  , , ,43.31, , 
11/25/2015,17:59,FP TOTAL ,PETRO FUEL #30 I-65 EXIT 86  ,GLENDALE ,KY  , , ,-165.23,-1,38196.6
11/25/2015,18:01,FP #2S ,TA-SPARKS 200 NTH MCCARRAN BLVD  ,SPARKS ,NV  ,65.01,2.6,-168.96,-1, 
11/25/2015,18:01,FP Discount ,TA-SPARKS 200 NTH MCCARRAN BLVD  ,SPARKS ,NV  , , ,22.95, , 
11/25/2015,18:01,FP TOTAL ,TA-SPARKS 200 NTH MCCARRAN BLVD  ,SPARKS ,NV  , , ,-146.01,-1,38049.59
11/25/2015,18:44,FP #2S ,SPACE AGE FUEL TRAVEL CTR 77522 HWY 207  ,HERMISTON ,OR  ,114.6,2.1,-240.54,-1, 
11/25/2015,18:44,FP OTH ,SPACE AGE FUEL TRAVEL CTR 77522 HWY 207  ,HERMISTON ,OR  ,10.34,2.8,-28.93, , 
11/25/2015,18:44,FP TOTAL ,SPACE AGE FUEL TRAVEL CTR 77522 HWY 207  ,HERMISTON ,OR  , , ,-269.47,-1,37779.12
11/25/2015,20:19,FP #2S ,SPACE AGE FUEL TRAVEL CTR 77522 HWY 207  ,HERMISTON ,OR  ,98.77,2.1,-207.32,-1, 
11/25/2015,20:19,FP TOTAL ,SPACE AGE FUEL TRAVEL CTR 77522 HWY 207  ,HERMISTON ,OR  , , ,-207.32,-1,37570.8
11/26/2015,14:55,FP #2S ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,149.26,2.63,-392.39,-1, 
11/26/2015,14:55,FP OTH ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,4.21,3,-12.63, , 
11/26/2015,14:55,FP Discount ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,92.54, , 
11/26/2015,14:55,FP TOTAL ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,-312.48,-1,37257.32
11/26/2015,15:35,FP #2S ,PETRO FUEL #3 I-80 & CURTIS RD EXIT 310  ,LARAMIE ,WY  ,174.06,2.36,-410.6,-1, 
11/26/2015,15:35,FP RFR ,PETRO FUEL #3 I-80 & CURTIS RD EXIT 310  ,LARAMIE ,WY  ,38.09,2.36,-89.86, , 
11/26/2015,15:35,FP Discount ,PETRO FUEL #3 I-80 & CURTIS RD EXIT 310  ,LARAMIE ,WY  , , ,28.64, , 
11/26/2015,15:35,FP TOTAL ,PETRO FUEL #3 I-80 & CURTIS RD EXIT 310  ,LARAMIE ,WY  , , ,-471.82,-1,36784.5
11/26/2015,19:38,FP #2S ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  ,60.32,2.45,-147.72,-1, 
11/26/2015,19:38,FP Discount ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  , , ,28.47, , 
11/26/2015,19:38,FP TOTAL ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  , , ,-119.25,-1,36664.25
11/26/2015,20:06,FP #2S ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  ,89.53,2.56,-229.1,-1, 
11/26/2015,20:06,FP OTH ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  ,2.55,2.86,-7.28, , 
11/26/2015,20:06,FP Discount ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  , , ,33.75, , 
11/26/2015,20:06,FP TOTAL ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  , , ,-202.63,-1,36460.62
