,,,,,,,,,,
12/11/2015,20:45,FP #2S ,TA-CONCORDIA I-70 & RT 23 EXIT 58  ,CONCORDIA ,MO  ,134.15,2,-268.17,-1, 
12/11/2015,20:45,FP Discount ,TA-CONCORDIA I-70 & RT 23 EXIT 58  ,CONCORDIA ,MO  , , ,45.07, , 
12/11/2015,20:45,FP TOTAL ,TA-CONCORDIA I-70 & RT 23 EXIT 58  ,CONCORDIA ,MO  , , ,-223.1,-1,83271.74
12/11/2015,22:15,FP #2S ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  ,134.41,2.27,-304.98,-1, 
12/11/2015,22:15,FP Discount ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  , , ,69.49, , 
12/11/2015,22:15,FP TOTAL ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  , , ,-235.49,-1,83035.25
12/11/2015,22:50,FP #2S ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,129.98,2.78,-361.21,-1, 
12/11/2015,22:50,FP Discount ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,79.42, , 
12/11/2015,22:50,FP TOTAL ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,-281.79,-1,82752.46
12/11/2015,22:59,FP #2S ,PILOT #294 1670 WEST 12TH STREET  ,OGDEN ,UT  ,131.82,2.56,-337.33,-1, 
12/11/2015,22:59,FP TOTAL ,PILOT #294 1670 WEST 12TH STREET  ,OGDEN ,UT  , , ,-337.33,-1,82414.13
12/12/2015,3:46,FP #2S ,PETRO FUEL #1 I-10 @ HORIZON BLVD EXIT   ,EL PASO ,TX  ,144.34,2.36,-340.5,-1, 
12/12/2015,3:46,FP OTH ,PETRO FUEL #1 I-10 @ HORIZON BLVD EXIT   ,EL PASO ,TX  ,15.97,2.85,-45.51, , 
12/12/2015,3:46,FP Discount ,PETRO FUEL #1 I-10 @ HORIZON BLVD EXIT   ,EL PASO ,TX  , , ,77.22, , 
12/12/2015,3:46,FP TOTAL ,PETRO FUEL #1 I-10 @ HORIZON BLVD EXIT   ,EL PASO ,TX  , , ,-308.79,-1,82104.34
12/12/2015,7:10,FP #2S ,PETRO FUEL # 26 I-40 & HWY 391 EXIT 161  ,NORTH LITTLE ROCK ,AR  ,123.58,2.26,-279.16,-1, 
12/12/2015,7:10,FP OTH ,PETRO FUEL # 26 I-40 & HWY 391 EXIT 161  ,NORTH LITTLE ROCK ,AR  ,4.47,2.85,-12.73, , 
12/12/2015,7:10,FP Discount ,PETRO FUEL # 26 I-40 & HWY 391 EXIT 161  ,NORTH LITTLE ROCK ,AR  , , ,67.47, , 
12/12/2015,7:10,FP TOTAL ,PETRO FUEL # 26 I-40 & HWY 391 EXIT 161  ,NORTH LITTLE ROCK ,AR  , , ,-224.42,-1,81878.92
12/12/2015,7:16,FP #2S ,TA-MOBILE 9201 GRAND BAY WILMER RD   ,GRAND BAY ,AL  ,96.73,2.2,-212.71,-1, 
12/12/2015,7:16,FP Discount ,TA-MOBILE 9201 GRAND BAY WILMER RD   ,GRAND BAY ,AL  , , ,49.14, , 
12/12/2015,7:16,FP TOTAL ,TA-MOBILE 9201 GRAND BAY WILMER RD   ,GRAND BAY ,AL  , , ,-163.57,-1,81714.35
12/12/2015,10:49,FP #2S ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  ,95.05,2.47,-234.68,-1, 
12/12/2015,10:49,FP OTH ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  ,6.53,2.86,-18.66, , 
12/12/2015,10:49,FP Discount ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,44.48, , 
12/12/2015,10:49,FP TOTAL ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,-208.86,-1,81504.49
12/12/2015,11:02,FP #2S ,TA-LAKE PARK (FUEL) 6901 LAKE PARK BELLEVILLE  ,LAKE PARK ,GA  ,147.79,2.28,-336.82,-1, 
12/12/2015,11:02,FP OTH ,TA-LAKE PARK (FUEL) 6901 LAKE PARK BELLEVILLE  ,LAKE PARK ,GA  ,16.73,2.85,-47.68, , 
12/12/2015,11:02,FP Discount ,TA-LAKE PARK (FUEL) 6901 LAKE PARK BELLEVILLE  ,LAKE PARK ,GA  , , ,56.46, , 
12/12/2015,11:02,FP TOTAL ,TA-LAKE PARK (FUEL) 6901 LAKE PARK BELLEVILLE  ,LAKE PARK ,GA  , , ,-328.04,-1,81175.45
12/12/2015,11:15,FP #2S ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  ,133.1,2.43,-323.29,-1, 
12/12/2015,11:15,FP OTH ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  ,13.5,2.85,-38.46, , 
12/12/2015,11:15,FP Discount ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  , , ,77.46, , 
