,,,,,,,,,,
7/19/2015,22:30,FP TOTAL ,TA-GRAND ISLAND WEST 8033 W HOLLING RD  ,ALDA ,NE  , , ,-267.93,-1,40640.51
7/19/2015,22:59,FP #2S ,PETRO FUEL #71 1255 ROUTE 414  ,WATERLOO ,NY  ,148.82,3.2,-476.06,-1, 
7/19/2015,22:59,FP OTH ,PETRO FUEL #71 1255 ROUTE 414  ,WATERLOO ,NY  ,4.86,2.96,-14.37, , 
7/19/2015,22:59,FP RFR ,PETRO FUEL #71 1255 ROUTE 414  ,WATERLOO ,NY  ,26,3.2,-83.19, , 
7/19/2015,22:59,FP Discount ,PETRO FUEL #71 1255 ROUTE 414  ,WATERLOO ,NY  , , ,129.04, , 
7/19/2015,22:59,FP TOTAL ,PETRO FUEL #71 1255 ROUTE 414  ,WATERLOO ,NY  , , ,-444.58,-1,40194.93
7/20/2015,0:35,FP #2S ,RJ'S FUEL STOP 2267 W. MAIN  ,TREMONTON ,UT  ,93.04,2.69,-250.18,-1, 
7/20/2015,0:35,FP RFR ,RJ'S FUEL STOP 2267 W. MAIN  ,TREMONTON ,UT  ,2.3,2.69,-6.18, , 
7/20/2015,0:35,FP TOTAL ,RJ'S FUEL STOP 2267 W. MAIN  ,TREMONTON ,UT  , , ,-256.36,-1,39937.57
7/20/2015,1:16,FP #2S ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,67.36,2.71,-182.55,-1, 
7/20/2015,1:16,FP Discount ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,36.85, , 
7/20/2015,1:16,FP TOTAL ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,-145.7,-1,39790.87
7/20/2015,10:17,FP #2S ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,178.38,2.71,-483.4,-1, 
7/20/2015,10:17,FP RFR ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,27.23,2.71,-73.79, , 
7/20/2015,10:17,FP Discount ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,81.42, , 
7/20/2015,10:17,FP TOTAL ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,-475.77,-1,39314.1
7/20/2015,12:53,FP #2S ,PILOT #90800 DBA TOWN PUM 1000 GRIZZLY TRAIL  ,ROCKER ,MT  ,143.23,2.79,-399.49,-1, 
7/20/2015,12:53,FP OTH ,PILOT #90800 DBA TOWN PUM 1000 GRIZZLY TRAIL  ,ROCKER ,MT  ,5.78,2.8,-16.2, , 
7/20/2015,12:53,FP RFR ,PILOT #90800 DBA TOWN PUM 1000 GRIZZLY TRAIL  ,ROCKER ,MT  ,11.71,2.79,-32.66, , 
7/20/2015,12:53,FP TOTAL ,PILOT #90800 DBA TOWN PUM 1000 GRIZZLY TRAIL  ,ROCKER ,MT  , , ,-448.35,-1,38864.75
7/20/2015,14:06,FP #2S ,TA-FULTONVILLE 40 RIVERSIDE DR  ,FULTONVILLE ,NY  ,144.58,3.22,-465.4,-1, 
7/20/2015,14:06,FP Discount ,TA-FULTONVILLE 40 RIVERSIDE DR  ,FULTONVILLE ,NY  , , ,111.76, , 
7/20/2015,14:06,FP TOTAL ,TA-FULTONVILLE 40 RIVERSIDE DR  ,FULTONVILLE ,NY  , , ,-353.64,-1,38510.11
7/20/2015,16:49,Load ,  , , , , ,2198.81,-4,40704.92
7/20/2015,18:22,Debit Decline ,PENRYN ENTERPRIS  ,PENRYN ,CA , , ,0,-1.5,40703.42
7/20/2015,18:22,Debit Decline ,PENRYN ENTERPRIS  ,PENRYN ,CA , , ,0,-1.5,40701.92
7/20/2015,20:54,FP #2S ,RJ'S FUEL STOP 2267 W. MAIN  ,TREMONTON ,UT  ,73.74,2.69,-198.3,-1, 
7/20/2015,20:54,FP RFR ,RJ'S FUEL STOP 2267 W. MAIN  ,TREMONTON ,UT  ,15.61,2.69,-41.97, , 
7/20/2015,20:54,FP TOTAL ,RJ'S FUEL STOP 2267 W. MAIN  ,TREMONTON ,UT  , , ,-240.27,-1,40460.65
7/20/2015,21:18,FP #2S ,TA-SPARKS 200 NTH MCCARRAN BLVD  ,SPARKS ,NV  ,55.65,2.89,-160.76,-1, 
7/20/2015,21:18,FP Discount ,TA-SPARKS 200 NTH MCCARRAN BLVD  ,SPARKS ,NV  , , ,16.42, , 
7/20/2015,21:18,FP TOTAL ,TA-SPARKS 200 NTH MCCARRAN BLVD  ,SPARKS ,NV  , , ,-144.34,-1,40315.31
7/20/2015,21:37,FP #2S ,LANKFORD TRUCK PLAZA 28412 LANKFORD HWY  ,TOWNSEND ,VA  ,76.39,2.66,-203.12,-1, 
7/20/2015,21:37,FP TOTAL ,LANKFORD TRUCK PLAZA 28412 LANKFORD HWY  ,TOWNSEND ,VA  , , ,-203.12,-1,40111.19
