,,,,,,,,,,,
12/24/2015,22:47,FP TOTAL ,SAPP BROS. SALT LAKE CITY 1953 CALIFORNIA AVENUE  ,SALT LAKE CITY ,UT  , , ,-270.02,-1,80769.28,
12/25/2015,3:53,FP #2S ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,123.44,2.36,-291.2,-1, ,
12/25/2015,3:53,FP Discount ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,82.7, , ,
12/25/2015,3:53,FP TOTAL ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,-208.5,-1,80559.78,
12/25/2015,9:37,FP #2S ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,127.15,2.36,-299.94,-1, ,
12/25/2015,9:37,FP Discount ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,85.19, , ,
12/25/2015,9:37,FP TOTAL ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,-214.75,-1,80344.03,
12/25/2015,9:53,FP #2S ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  ,89.33,2.36,-210.72,-1, ,
12/25/2015,9:53,FP Discount ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,57.35, , ,
12/25/2015,9:53,FP TOTAL ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,-153.37,-1,80189.66,
12/25/2015,10:06,FP #2S ,TA-KNOXVILLE I-40 LOVELL RD EXIT 374  ,KNOXVILLE ,TN  ,131.49,2.08,-273.36,-1, ,
12/25/2015,10:06,FP Discount ,TA-KNOXVILLE I-40 LOVELL RD EXIT 374  ,KNOXVILLE ,TN  , , ,62.72, , ,
12/25/2015,10:06,FP TOTAL ,TA-KNOXVILLE I-40 LOVELL RD EXIT 374  ,KNOXVILLE ,TN  , , ,-210.64,-1,79978.02,
12/25/2015,10:14,FP RFR ,TA-KNOXVILLE I-40 LOVELL RD EXIT 374  ,KNOXVILLE ,TN  ,35.95,2.08,-74.73, , ,
12/25/2015,10:14,FP Discount ,TA-KNOXVILLE I-40 LOVELL RD EXIT 374  ,KNOXVILLE ,TN  , , ,17.15, , ,
12/25/2015,10:14,FP TOTAL ,TA-KNOXVILLE I-40 LOVELL RD EXIT 374  ,KNOXVILLE ,TN  , , ,-57.58, ,79920.44,
12/25/2015,10:45,FP #2S ,TA-DENVER WEST TRAVEL CTR I-70 & WARD ROAD EXIT 266  ,WHEAT RIDGE ,CO  ,104.06,2.06,-214.26,-1, ,
12/25/2015,10:45,FP OTH ,TA-DENVER WEST TRAVEL CTR I-70 & WARD ROAD EXIT 266  ,WHEAT RIDGE ,CO  ,7.73,2.86,-22.1, , ,
12/25/2015,10:45,FP RFR ,TA-DENVER WEST TRAVEL CTR I-70 & WARD ROAD EXIT 266  ,WHEAT RIDGE ,CO  ,6.13,2.06,-12.63, , ,
12/25/2015,10:45,FP Discount ,TA-DENVER WEST TRAVEL CTR I-70 & WARD ROAD EXIT 266  ,WHEAT RIDGE ,CO  , , ,46.17, , ,
12/25/2015,10:45,FP TOTAL ,TA-DENVER WEST TRAVEL CTR I-70 & WARD ROAD EXIT 266  ,WHEAT RIDGE ,CO  , , ,-202.82,-1,79716.62,
12/25/2015,10:46,FP #2S ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  ,156.04,2.36,-368.09,-1, ,
12/25/2015,10:46,FP OTH ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  ,11.65,2.86,-33.31, , ,
12/25/2015,10:46,FP Discount ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,100.18, , ,
12/25/2015,10:46,FP TOTAL ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,-301.22,-1,79414.4,
12/25/2015,11:18,FP #2S ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,111.58,1.96,-218.58,-1, ,
12/25/2015,11:18,FP OTH ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,5.09,2.86,-14.56, , ,
12/25/2015,11:18,FP Discount ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,17.18, , ,
12/25/2015,11:18,FP TOTAL ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,-215.96,-1,79197.44,
12/25/2015,11:42,FP #2S ,PETRO FUEL #62 / YORK 4700 S LINCOLN  ,YORK ,NE  ,114.87,2,-229.63,-1, ,
12/25/2015,11:42,FP Discount ,PETRO FUEL #62 / YORK 4700 S LINCOLN  ,YORK ,NE  , , ,36.76, , ,
