,,,,,,,,,,
11/20/2015,19:56,FP TOTAL ,"FLYING J #747 115 & EXIT 265, 1460 N 17  ",SPRINGVILLE ,UT  , , ,-270.95,-1,34321.43
11/20/2015,23:06,FP #2S ,FLYING J #760 10501 US HWY 30  ,COKEVILLE ,WY  ,182.26,2.8,-510.15,-1, 
11/20/2015,23:06,FP TOTAL ,FLYING J #760 10501 US HWY 30  ,COKEVILLE ,WY  , , ,-510.15,-1,33804.28
11/21/2015,2:02,FP #2S ,TA-TOLEDO 3483 LIBBEY RD  ,PERRYSBURG ,OH  ,20.67,2.52,-52.06,-1, 
11/21/2015,2:02,FP Discount ,TA-TOLEDO 3483 LIBBEY RD  ,PERRYSBURG ,OH  , , ,14.08, , 
11/21/2015,2:02,FP TOTAL ,TA-TOLEDO 3483 LIBBEY RD  ,PERRYSBURG ,OH  , , ,-37.98,-1,33765.3
11/21/2015,6:27,FP #2S ,TA-SEATTLE EAST/NORTH BEN 46600 SE NORTH BEND WAY  ,NORTH BEND ,WA  ,120,3.33,-399.5,-1, 
11/21/2015,6:27,FP OTH ,TA-SEATTLE EAST/NORTH BEN 46600 SE NORTH BEND WAY  ,NORTH BEND ,WA  ,3.48,2.95,-10.28, , 
11/21/2015,6:27,FP Discount ,TA-SEATTLE EAST/NORTH BEN 46600 SE NORTH BEND WAY  ,NORTH BEND ,WA  , , ,144.72, , 
11/21/2015,6:27,FP TOTAL ,TA-SEATTLE EAST/NORTH BEN 46600 SE NORTH BEND WAY  ,NORTH BEND ,WA  , , ,-265.06,-1,33499.24
11/21/2015,7:33,FP #2S ,BP #70509 4004 E. COUNTY RD 700 N.   ,ROLLING PRARIE ,IN  ,25.15,2.2,-55.3,-1, 
11/21/2015,7:33,FP TOTAL ,BP #70509 4004 E. COUNTY RD 700 N.   ,ROLLING PRARIE ,IN  , , ,-55.3,-1,33442.94
11/21/2015,9:13,FP #2S ,TA-DENVER WEST TRAVEL CTR I-70 & WARD ROAD EXIT 266  ,WHEAT RIDGE ,CO  ,100.06,2.48,-248.06,-1, 
11/21/2015,9:13,FP OTH ,TA-DENVER WEST TRAVEL CTR I-70 & WARD ROAD EXIT 266  ,WHEAT RIDGE ,CO  ,6.55,2.86,-18.74, , 
11/21/2015,9:13,FP Discount ,TA-DENVER WEST TRAVEL CTR I-70 & WARD ROAD EXIT 266  ,WHEAT RIDGE ,CO  , , ,42.43, , 
