,,,,,,,,,,
12/4/2015,20:24,FP TOTAL ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  , , ,-313.56,-1,35620.19
12/4/2015,20:55,FP #2S ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,98.71,2.82,-278.25,-1, 
12/4/2015,20:55,FP OTH ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,14.59,2.86,-41.72, , 
12/4/2015,20:55,FP Discount ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,65.94, , 
12/4/2015,20:55,FP TOTAL ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,-254.03,-1,35365.16
12/4/2015,21:21,FP #2S ,PETRO FUEL #8 6910 W. BERT KOUNS  ,SHREVEPORT ,LA  ,131.45,2.3,-302.2,-1, 
12/4/2015,21:21,FP Discount ,PETRO FUEL #8 6910 W. BERT KOUNS  ,SHREVEPORT ,LA  , , ,68.09, , 
12/4/2015,21:21,FP TOTAL ,PETRO FUEL #8 6910 W. BERT KOUNS  ,SHREVEPORT ,LA  , , ,-234.11,-1,35130.05
12/4/2015,21:25,FP #2S ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  ,53.2,2.45,-130.28,-1, 
12/4/2015,21:25,FP Discount ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  , , ,30.8, , 
12/4/2015,21:25,FP TOTAL ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  , , ,-99.48,-1,35029.57
12/5/2015,0:56,FP #2S ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  ,101.7,2.58,-262.28,-1, 
12/5/2015,0:56,FP OTH ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  ,1.51,2.86,-4.32, , 
12/5/2015,0:56,FP Discount ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,67.22, , 
12/5/2015,0:56,FP TOTAL ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,-199.38,-1,34829.19
12/5/2015,1:28,FP #2S ,TA-GALLUP I-40 & HWY 66  ,GALLUP ,NM  ,147.77,2.48,-366.32,-1, 
12/5/2015,1:28,FP Discount ,TA-GALLUP I-40 & HWY 66  ,GALLUP ,NM  , , ,68.42, , 
12/5/2015,1:28,FP TOTAL ,TA-GALLUP I-40 & HWY 66  ,GALLUP ,NM  , , ,-297.9,-1,34530.29
12/5/2015,2:15,FP #2S ,TA-BALDWIN (FUEL) 1024 US HWY 301 SOUTH  ,BALDWIN ,FL  ,97.33,2.46,-239.34,-1, 
12/5/2015,2:15,FP Discount ,TA-BALDWIN (FUEL) 1024 US HWY 301 SOUTH  ,BALDWIN ,FL  , , ,40.88, , 
12/5/2015,2:15,FP TOTAL ,TA-BALDWIN (FUEL) 1024 US HWY 301 SOUTH  ,BALDWIN ,FL  , , ,-198.46,-1,34330.83
12/5/2015,6:14,FP #2S ,PETRO FUEL #43 114 JASMINE RD.  ,EGAN ,LA  ,40.3,2.32,-93.46,-1, 
12/5/2015,6:14,FP Discount ,PETRO FUEL #43 114 JASMINE RD.  ,EGAN ,LA  , , ,20.47, , 
12/5/2015,6:14,FP TOTAL ,PETRO FUEL #43 114 JASMINE RD.  ,EGAN ,LA  , , ,-72.99,-1,34256.84
12/5/2015,7:14,FP #2S ,TA-BALDWIN (FUEL) 1024 US HWY 301 SOUTH  ,BALDWIN ,FL  ,79.04,2.46,-194.36,-1, 
12/5/2015,7:14,FP OTH ,TA-BALDWIN (FUEL) 1024 US HWY 301 SOUTH  ,BALDWIN ,FL  ,6.32,2.85,-18, , 
12/5/2015,7:14,FP Discount ,TA-BALDWIN (FUEL) 1024 US HWY 301 SOUTH  ,BALDWIN ,FL  , , ,33.2, , 
12/5/2015,7:14,FP TOTAL ,TA-BALDWIN (FUEL) 1024 US HWY 301 SOUTH  ,BALDWIN ,FL  , , ,-179.16,-1,34076.68
12/5/2015,10:26,FP #2S ,TA-LONDON I-70 AND ST.RT. 42  ,LONDON ,OH  ,139.43,2.47,-344.25,-1, 
12/5/2015,10:26,FP OTH ,TA-LONDON I-70 AND ST.RT. 42  ,LONDON ,OH  ,9.08,2.85,-25.87, , 
12/5/2015,10:26,FP Discount ,TA-LONDON I-70 AND ST.RT. 42  ,LONDON ,OH  , , ,96.9, , 
12/5/2015,10:26,FP TOTAL ,TA-LONDON I-70 AND ST.RT. 42  ,LONDON ,OH  , , ,-273.22,-1,33802.46
12/5/2015,13:37,FP #2S ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  ,128.03,2.35,-300.75,-1, 
12/5/2015,13:37,FP Discount ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  , , ,62.35, , 
12/5/2015,13:37,FP TOTAL ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  , , ,-238.4,-1,33563.06
12/5/2015,16:12,FP #2S ,TA-OGALLALA 103 PROSPECTOR DRIVE  ,OGALLALA ,NE  ,77.92,2.36,-183.82,-1, 
12/5/2015,16:12,FP Discount ,TA-OGALLALA 103 PROSPECTOR DRIVE  ,OGALLALA ,NE  , , ,35.53, , 
12/5/2015,16:12,FP TOTAL ,TA-OGALLALA 103 PROSPECTOR DRIVE  ,OGALLALA ,NE  , , ,-148.29,-1,33413.77
12/5/2015,16:50,FP #2S ,TA-BALDWIN (FUEL) 1024 US HWY 301 SOUTH  ,BALDWIN ,FL  ,97.26,2.46,-239.16,-1, 
12/5/2015,16:50,FP Discount ,TA-BALDWIN (FUEL) 1024 US HWY 301 SOUTH  ,BALDWIN ,FL  , , ,40.85, , 
12/5/2015,16:50,FP TOTAL ,TA-BALDWIN (FUEL) 1024 US HWY 301 SOUTH  ,BALDWIN ,FL  , , ,-198.31,-1,33214.46
12/5/2015,18:43,FP #2S ,TA-ERIE 4050 DEPOT ROAD  ,ERIE ,PA  ,108.39,2.74,-296.89,-1, 
12/5/2015,18:43,FP Discount ,TA-ERIE 4050 DEPOT ROAD  ,ERIE ,PA  , , ,42.6, , 
12/5/2015,18:43,FP TOTAL ,TA-ERIE 4050 DEPOT ROAD  ,ERIE ,PA  , , ,-254.29,-1,32959.17
12/5/2015,20:30,FP #2S ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  ,109.28,2.58,-281.84,-1, 
12/5/2015,20:30,FP Discount ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  , , ,59.78, , 
12/5/2015,20:30,FP TOTAL ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  , , ,-222.06,-1,32736.11
12/5/2015,21:21,FP #2S ,TA-AMARILLO WEST 7000 I-40 EAST EXIT 74  ,AMARILLO ,TX  ,120.02,2.36,-283.14,-1, 
12/5/2015,21:21,FP OTH ,TA-AMARILLO WEST 7000 I-40 EAST EXIT 74  ,AMARILLO ,TX  ,7.86,2.85,-22.4, , 
12/5/2015,21:21,FP Discount ,TA-AMARILLO WEST 7000 I-40 EAST EXIT 74  ,AMARILLO ,TX  , , ,69.13, , 
12/5/2015,21:21,FP TOTAL ,TA-AMARILLO WEST 7000 I-40 EAST EXIT 74  ,AMARILLO ,TX  , , ,-236.41,-1,32498.7
12/5/2015,21:58,FP #2S ,TA-ANTIOCH 13011 OLD HICKORY BLVD  ,ANTIOCH ,TN  ,119.34,2.13,-254.08,-1, 
12/5/2015,21:58,FP Discount ,TA-ANTIOCH 13011 OLD HICKORY BLVD  ,ANTIOCH ,TN  , , ,47.02, , 
12/5/2015,21:58,FP TOTAL ,TA-ANTIOCH 13011 OLD HICKORY BLVD  ,ANTIOCH ,TN  , , ,-207.06,-1,32290.64
12/5/2015,23:10,FP #2S ,TA-PRESCOTT 1806 HWY 371 W. I-30 EXT.  ,PRESCOTT ,AR  ,106.95,2.27,-242.66,-1, 
12/5/2015,23:10,FP Discount ,TA-PRESCOTT 1806 HWY 371 W. I-30 EXT.  ,PRESCOTT ,AR  , , ,46.63, , 
12/5/2015,23:10,FP TOTAL ,TA-PRESCOTT 1806 HWY 371 W. I-30 EXT.  ,PRESCOTT ,AR  , , ,-196.03,-1,32093.61
12/6/2015,0:34,FP #2S ,TA-CONCORDIA I-70 & RT 23 EXIT 58  ,CONCORDIA ,MO  ,112.06,2.11,-236.35,-1, 
12/6/2015,0:34,FP OTH ,TA-CONCORDIA I-70 & RT 23 EXIT 58  ,CONCORDIA ,MO  ,3.71,2.85,-10.59, , 
12/6/2015,0:34,FP Discount ,TA-CONCORDIA I-70 & RT 23 EXIT 58  ,CONCORDIA ,MO  , , ,39, , 
12/6/2015,0:34,FP TOTAL ,TA-CONCORDIA I-70 & RT 23 EXIT 58  ,CONCORDIA ,MO  , , ,-207.94,-1,31884.67
12/6/2015,2:19,FP #2S ,FLYING J #510 810 NORTH 800 WEST  ,SCIPIO ,UT  ,168.8,2.56,-431.96,-1, 
12/6/2015,2:19,FP TOTAL ,FLYING J #510 810 NORTH 800 WEST  ,SCIPIO ,UT  , , ,-431.96,-1,31451.71
12/6/2015,4:20,FP #2S ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  ,170.15,2.15,-365.64,-1, 
12/6/2015,4:20,FP Discount ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  , , ,78.61, , 
12/6/2015,4:20,FP TOTAL ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  , , ,-287.03,-1,31163.68
12/6/2015,5:13,FP #2S ,TA-FORISTELL 3265 N SERVICE ROAD EAST   ,FORISTELL ,MO  ,71.22,2.05,-145.93,-1, 
12/6/2015,5:13,FP Discount ,TA-FORISTELL 3265 N SERVICE ROAD EAST   ,FORISTELL ,MO  , , ,20.37, , 
12/6/2015,5:13,FP TOTAL ,TA-FORISTELL 3265 N SERVICE ROAD EAST   ,FORISTELL ,MO  , , ,-125.56,-1,31037.12
12/6/2015,8:43,FP #2S ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  ,149.94,2.46,-368.71,-1, 
12/6/2015,8:43,FP OTH ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  ,14.11,2.85,-40.2, , 
12/6/2015,8:43,FP Discount ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  , , ,74.07, , 
12/6/2015,8:43,FP TOTAL ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  , , ,-334.84,-1,30701.28
12/6/2015,16:01,FP #2S ,TA-OKLAHOMA EAST 801 S. COUNCIL RD  ,OKLAHOMA CITY ,OK  ,132.9,2.28,-302.87,-1, 
12/6/2015,16:01,FP Discount ,TA-OKLAHOMA EAST 801 S. COUNCIL RD  ,OKLAHOMA CITY ,OK  , , ,78.15, , 
12/6/2015,16:01,FP TOTAL ,TA-OKLAHOMA EAST 801 S. COUNCIL RD  ,OKLAHOMA CITY ,OK  , , ,-224.72,-1,30475.56
12/6/2015,17:09,FP #2S ,LOVES #200 6930 I-40 E  ,AMARILLO ,TX  ,156.12,2.35,-366.72,-1, 
12/6/2015,17:09,FP OTH ,LOVES #200 6930 I-40 E  ,AMARILLO ,TX  ,10.31,2.7,-27.82, , 
12/6/2015,17:09,FP TOTAL ,LOVES #200 6930 I-40 E  ,AMARILLO ,TX  , , ,-394.54,-1,30080.02
12/6/2015,19:43,FP #2S ,TA-COMMERCE 30732 HWY 441 S  ,COMMERCE ,GA  ,76.93,2.36,-181.48,-1, 
12/6/2015,19:43,FP Discount ,TA-COMMERCE 30732 HWY 441 S  ,COMMERCE ,GA  , , ,32.31, , 
12/6/2015,19:43,FP TOTAL ,TA-COMMERCE 30732 HWY 441 S  ,COMMERCE ,GA  , , ,-149.17,-1,29929.85
12/6/2015,22:55,FP #2S ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  ,131.89,2.36,-311.14,-1, 
12/6/2015,22:55,FP OTH ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  ,14.41,2.85,-41.05, , 
12/6/2015,22:55,FP Discount ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  , , ,38.38, , 
12/6/2015,22:55,FP TOTAL ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  , , ,-313.81,-1,29615.04
12/6/2015,23:34,FP #2S ,TA-CANDLER 153 WIGGINS RD  ,CANDLER ,NC  ,90.14,2.5,-225.26,-1, 
12/6/2015,23:34,FP Discount ,TA-CANDLER 153 WIGGINS RD  ,CANDLER ,NC  , , ,48.68, , 
12/6/2015,23:34,FP TOTAL ,TA-CANDLER 153 WIGGINS RD  ,CANDLER ,NC  , , ,-176.58,-1,29437.46
