Date,Ref/Check,Description,Amount,Balance,Memo,Category
8/24/2015,,ACH Withdrawal ADP TX/FINCL SVC ADP - TAX,-7.63,8157.89,,
8/24/2015,,ACH Withdrawal ADP TX/FINCL SVC ADP - TAX,-962.42,7195.47,,
8/24/2015,,ACH Withdrawal ADP TX/FINCL SVC ADP - TAX,-3177.29,4018.18,,
8/24/2015,,Daily Ledger Bal,,4018.18,,
8/25/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,5001,9019.18,,
8/25/2015,,Alliance Payoff MMA to LOC Sweep,-4204.09,4815.09,,
8/25/2015,,Alliance Payoff LOC to MMA Sweep,4204.09,9019.18,,
8/25/2015,,Daily Ledger Bal,,9019.18,,
8/26/2015,,ACH Withdrawal CAPITAL ONE ONLINE PMT,-5000,4019.18,,
8/26/2015,,Daily Ledger Bal,,4019.18,,
8/28/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,5200,9219.18,,
8/28/2015,,ACH Withdrawal ADP PAYROLL FEES ADP - FEES,-56.75,9162.43,,
8/28/2015,,Daily Ledger Bal,,9162.43,,
8/31/2015,,Alliance Payoff MMA to LOC Sweep,-10230.51,-1068.08,,
8/31/2015,,Accr Earning Pymt Added to Account,1.22,-1066.86,,
8/31/2015,,ACH Withdrawal ADP TX/FINCL SVC ADP - TAX,-9.52,-1076.38,,
8/31/2015,,ACH Withdrawal ADP TX/FINCL SVC ADP - TAX,-1309.03,-2385.41,,
8/31/2015,,ACH Withdrawal ADP TX/FINCL SVC ADP - TAX,-3855.21,-6240.62,,
8/31/2015,,Alliance Payoff LOC to MMA Sweep,10230.51,3989.89,,
8/31/2015,,Daily Ledger Bal,,3989.89,,
