,,,,,,,,,,
7/31/2015,21:39,FP Discount ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  , , ,6.2, , 
7/31/2015,21:39,FP TOTAL ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  , , ,-77.84, ,56686.68
7/31/2015,21:44,FP #2S ,"TA-WILLINGTON I-84,E XIT 71  ",WILLINGTON ,CT  ,125.42,3.23,-404.97,-1, 
7/31/2015,21:44,FP RFR ,"TA-WILLINGTON I-84,E XIT 71  ",WILLINGTON ,CT  ,21.34,3.23,-68.9, , 
7/31/2015,21:44,FP Discount ,"TA-WILLINGTON I-84,E XIT 71  ",WILLINGTON ,CT  , , ,109.77, , 
7/31/2015,21:44,FP TOTAL ,"TA-WILLINGTON I-84,E XIT 71  ",WILLINGTON ,CT  , , ,-364.1,-1,56321.58
7/31/2015,21:46,FP #2S ,TA-BROOKVILLE I -80 EXIT 78  ,BROOKVILLE ,PA  ,36.41,2.92,-106.29,-1, 
7/31/2015,21:46,FP Discount ,TA-BROOKVILLE I -80 EXIT 78  ,BROOKVILLE ,PA  , , ,11.18, , 
7/31/2015,21:46,FP TOTAL ,TA-BROOKVILLE I -80 EXIT 78  ,BROOKVILLE ,PA  , , ,-95.11,-1,56225.47
7/31/2015,23:53,FP #2S ,TA-YOUNGSTOWN 5400 76TH DR  ,YOUNGSTOWN ,OH  ,149.57,2.62,-391.72,-1, 
7/31/2015,23:53,FP OTH ,TA-YOUNGSTOWN 5400 76TH DR  ,YOUNGSTOWN ,OH  ,13.89,2.85,-39.57, , 
7/31/2015,23:53,FP RFR ,TA-YOUNGSTOWN 5400 76TH DR  ,YOUNGSTOWN ,OH  ,22.26,2.62,-58.3, , 
7/31/2015,23:53,FP Discount ,TA-YOUNGSTOWN 5400 76TH DR  ,YOUNGSTOWN ,OH  , , ,74.23, , 
7/31/2015,23:53,FP TOTAL ,TA-YOUNGSTOWN 5400 76TH DR  ,YOUNGSTOWN ,OH  , , ,-415.36,-1,55809.11
