"Date","Ref/Check","Description","Amount","Balance","Memo","Category"
11/03/2015,,"ACH Deposit ADP PAYROLL FEES ADP - FEES",200,868.73,,
11/03/2015,,"Daily Ledger Bal",,868.73,,
11/06/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",4701,5569.73,,
11/06/2015,,"ACH Payment ADP PAYROLL FEES ADP - FEES",-58.26,5511.47,,
11/06/2015,,"Daily Ledger Bal",,5511.47,,
11/09/2015,,"ACH Payment ADP EEPAY/GARNWC EEPAY/GARN",-7.44,5504.03,,
11/09/2015,,"ACH Payment CAPITAL ONE ONLINE PMT",-700,4804.03,,
11/09/2015,,"ACH Payment ADP Tax/401k Tax/401k",-853.08,3950.95,,
11/09/2015,,"ACH Payment ADP EEPAY/GARNWC EEPAY/GARN",-3173.56,777.39,,
11/09/2015,,"Daily Ledger Bal",,777.39,,
11/13/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",5601,6378.39,,
11/13/2015,,"ACH Payment ADP PAYROLL FEES ADP - FEES",-58.26,6320.13,,
11/15/2015,,"Analysis Charge",-11.47,6308.66,,
11/15/2015,,"Daily Ledger Bal",,6308.66,,
11/16/2015,,"ACH Payment ADP EEPAY/GARNWC EEPAY/GARN",-10.42,6298.24,,
11/16/2015,,"ACH Payment ADP Tax/401k Tax/401k",-1440.99,4857.25,,
11/16/2015,,"ACH Payment ADP EEPAY/GARNWC EEPAY/GARN",-4190.84,666.41,,
11/16/2015,,"Daily Ledger Bal",,666.41,,
11/20/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",5800,6466.41,,
11/20/2015,,"ACH Payment ADP PAYROLL FEES ADP - FEES",-58.26,6408.15,,
11/20/2015,,"Daily Ledger Bal",,6408.15,,
11/23/2015,,"ACH Payment ADP EEPAY/GARNWC EEPAY/GARN",-10.68,6397.47,,
11/23/2015,,"ACH Payment ADP Tax/401k Tax/401k",-1435.95,4961.52,,
11/23/2015,,"ACH Payment ADP EEPAY/GARNWC EEPAY/GARN",-4342.03,619.49,,
11/23/2015,,"Daily Ledger Bal",,619.49,,
11/27/2015,,"ACH Payment ADP PAYROLL FEES ADP - FEES",-33.33,586.16,,
11/27/2015,,"ACH Payment ADP PAYROLL FEES ADP - FEES",-58.26,527.90,,
11/27/2015,,"Daily Ledger Bal",,527.9,,
11/30/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",4301,4828.90,,
11/30/2015,,"ACH Payment ADP EEPAY/GARNWC EEPAY/GARN",-8.05,4820.85,,
11/30/2015,,"ACH Payment ADP Tax/401k Tax/401k",-966.85,3854.00,,
11/30/2015,,"ACH Payment ADP EEPAY/GARNWC EEPAY/GARN",-3383.35,470.65,,
11/30/2015,,"Accr Earning Pymt Added to Account",.5,471.15,,
11/30/2015,,"Daily Ledger Bal",,471.15,,
