,,,,,,,,,,
12/18/2015,14:10,FP Discount ,PETRO FUEL #31 6595 N HOLLYWOOD BLVD  ,LAS VEGAS ,NV  , , ,61.16, , 
12/18/2015,14:10,FP TOTAL ,PETRO FUEL #31 6595 N HOLLYWOOD BLVD  ,LAS VEGAS ,NV  , , ,-227.74,-1,41232.43
12/18/2015,15:10,FP #2S ,PETRO FUEL #62 / YORK 4700 S LINCOLN  ,YORK ,NE  ,19.03,2.2,-41.85,-1, 
12/18/2015,15:10,FP Discount ,PETRO FUEL #62 / YORK 4700 S LINCOLN  ,YORK ,NE  , , ,10.18, , 
12/18/2015,15:10,FP TOTAL ,PETRO FUEL #62 / YORK 4700 S LINCOLN  ,YORK ,NE  , , ,-31.67,-1,41199.76
12/18/2015,16:21,FP #2S ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,76.92,2.46,-189.15,-1, 
12/18/2015,16:21,FP Discount ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,42.69, , 
12/18/2015,16:21,FP TOTAL ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,-146.46,-1,41052.3
12/18/2015,17:06,Load ,  , , , , ,3836.69,-4,44884.99
12/18/2015,17:12,FP #2S ,PILOT #503 2309 SMITHTON RD  ,MORGANTOWN ,WV  ,61.23,2.5,-153.03,-1, 
12/18/2015,17:12,FP TOTAL ,PILOT #503 2309 SMITHTON RD  ,MORGANTOWN ,WV  , , ,-153.03,-1,44730.96
12/18/2015,18:53,FP RFR ,TA-LODI (SEVILLE) 8834 LAKE RD  ,SEVILLE ,OH  ,90.28,2.38,-214.76,-1, 
12/18/2015,18:53,FP Discount ,TA-LODI (SEVILLE) 8834 LAKE RD  ,SEVILLE ,OH  , , ,56.61, , 
12/18/2015,18:53,FP TOTAL ,TA-LODI (SEVILLE) 8834 LAKE RD  ,SEVILLE ,OH  , , ,-158.15,-1,44571.81
12/18/2015,21:22,FP #2S ,TA-FORISTELL 3265 N SERVICE ROAD EAST   ,FORISTELL ,MO  ,85.38,1.88,-160.42,-1, 
12/18/2015,21:22,FP Discount ,TA-FORISTELL 3265 N SERVICE ROAD EAST   ,FORISTELL ,MO  , , ,25.7, , 
12/18/2015,21:22,FP TOTAL ,TA-FORISTELL 3265 N SERVICE ROAD EAST   ,FORISTELL ,MO  , , ,-134.72,-1,44436.09
