"Date","Ref/Check","Description","Amount","Balance","Memo","Category"
11/30/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",499,820.11,,
11/30/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",2101,2921.11,,
11/30/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",14001,16922.11,,
11/30/2015,,"ACH Payment ADP EEPAY/GARNWC EEPAY/GARN",-4,16918.11,,
11/30/2015,,"ACH Payment ADP Tax/401k Tax/401k",-306,16612.11,,
11/30/2015,,"Wire Payment NutriGold Inc",-500,16112.11,,
11/30/2015,,"ACH Payment ADP EEPAY/GARNWC EEPAY/GARN",-1847,14265.11,,
11/30/2015,,"Accr Earning Pymt Added to Account",.83,14265.94,,
11/30/2015,,"Daily Ledger Bal",,14265.94,,
12/01/2015,,"ACH Payment CAPITAL ONE ONLINE PMT",-14000,265.94,,
12/01/2015,,"Daily Ledger Bal",,265.94,,
12/03/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",1250,1515.94,,
12/03/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",14001,15516.94,,
12/03/2015,,"ACH Payment MANAGEMENT SERV ONLINE TRF",-1243.35,14273.59,,
12/03/2015,,"Daily Ledger Bal",,14273.59,,
12/04/2015,,"ACH Payment ADP PAYROLL FEES ADP - FEES",-35.18,14238.41,,
12/04/2015,,"ACH Payment CAPITAL ONE ONLINE PMT",-14000,238.41,,
12/04/2015,,"Daily Ledger Bal",,238.41,,
12/07/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",2001,2239.41,,
12/07/2015,,"ACH Payment ADP EEPAY/GARNWC EEPAY/GARN",-4,2235.41,,
12/07/2015,,"ACH Payment ADP Tax/401k Tax/401k",-306,1929.41,,
12/07/2015,,"ACH Payment ADP EEPAY/GARNWC EEPAY/GARN",-1847,82.41,,
12/07/2015,,"Daily Ledger Bal",,82.41,,
12/08/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",3001,3083.41,,
12/08/2015,,"Daily Ledger Bal",,3083.41,,
12/09/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",2101,5184.41,,
12/09/2015,,"ACH Payment MANAGEMENT SERV ONLINE TRF",-2106.93,3077.48,,
12/09/2015,,"ACH Payment CAPITAL ONE ONLINE PMT",-3000,77.48,,
12/09/2015,,"Daily Ledger Bal",,77.48,,
12/10/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",14001,14078.48,,
12/10/2015,,"Daily Ledger Bal",,14078.48,,
12/11/2015,,"ACH Payment ADP PAYROLL FEES ADP - FEES",-35.18,14043.30,,
12/11/2015,,"ACH Payment CAPITAL ONE ONLINE PMT",-14000,43.30,,
12/11/2015,,"Daily Ledger Bal",,43.3,,
12/14/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",2201,2244.30,,
12/14/2015,,"ACH Payment ADP EEPAY/GARNWC EEPAY/GARN",-4,2240.30,,
12/14/2015,,"ACH Payment ADP Tax/401k Tax/401k",-306,1934.30,,
12/14/2015,,"ACH Payment ADP EEPAY/GARNWC EEPAY/GARN",-1847,87.30,,
12/14/2015,,"Daily Ledger Bal",,87.3,,
12/15/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",1650,1737.30,,
12/15/2015,,"ACH Payment MANAGEMENT SERV ONLINE TRF",-1649.3,88.00,,
12/15/2015,,"Analysis Charge "11 2015 Charge"",-21.96,66.04,,
12/15/2015,,"Daily Ledger Bal",,66.04,,
12/17/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",14001,14067.04,,
12/17/2015,,"Daily Ledger Bal",,14067.04,,
12/18/2015,,"ACH Payment ADP PAYROLL FEES ADP - FEES",-35.18,14031.86,,
12/18/2015,,"ACH Payment CAPITAL ONE ONLINE PMT",-14000,31.86,,
12/18/2015,,"Daily Ledger Bal",,31.86,,
12/21/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",2201,2232.86,,
12/21/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",6001,8233.86,,
12/21/2015,,"ACH Payment ADP EEPAY/GARNWC EEPAY/GARN",-4,8229.86,,
12/21/2015,,"ACH Payment ADP Tax/401k Tax/401k",-306,7923.86,,
12/21/2015,,"ACH Payment ADP EEPAY/GARNWC EEPAY/GARN",-1847,6076.86,,
12/21/2015,,"Daily Ledger Bal",,6076.86,,
12/22/2015,,"ACH Payment CAPITAL ONE ONLINE PMT",-6000,76.86,,
12/22/2015,,"Daily Ledger Bal",,76.86,,
12/28/2015,,"ACH Payment ADP PAYROLL FEES ADP - FEES",-35.18,41.68,,
12/28/2015,,"ACH Payment ADP PAYROLL FEES ADP - FEES",-33.33,8.35,,
