,,,,,,,,,,
12/30/2015,19:56,FP OTH ,TA-SANTA NELLA 12310 S HWY 33 & I-5  ,SANTA NELLA ,CA  ,4.52,2.76,-12.46, , 
12/30/2015,19:56,FP Discount ,TA-SANTA NELLA 12310 S HWY 33 & I-5  ,SANTA NELLA ,CA  , , ,56.48, , 
12/30/2015,19:56,FP TOTAL ,TA-SANTA NELLA 12310 S HWY 33 & I-5  ,SANTA NELLA ,CA  , , ,-186.2,-1,52507.06
12/30/2015,20:01,FP #2S ,TA-SPARKS 200 NTH MCCARRAN BLVD  ,SPARKS ,NV  ,152.35,2.36,-359.38,-1, 
12/30/2015,20:01,FP OTH ,TA-SPARKS 200 NTH MCCARRAN BLVD  ,SPARKS ,NV  ,7.02,2.85,-20, , 
12/30/2015,20:01,FP Discount ,TA-SPARKS 200 NTH MCCARRAN BLVD  ,SPARKS ,NV  , , ,47.08, , 
12/30/2015,20:01,FP TOTAL ,TA-SPARKS 200 NTH MCCARRAN BLVD  ,SPARKS ,NV  , , ,-332.3,-1,52173.76
12/30/2015,21:18,FP #2S ,TA-SPARKS 200 NTH MCCARRAN BLVD  ,SPARKS ,NV  ,37.85,2.36,-89.29,-1, 
12/30/2015,21:18,FP RFR ,TA-SPARKS 200 NTH MCCARRAN BLVD  ,SPARKS ,NV  ,20,2.36,-47.18, , 
12/30/2015,21:18,FP Discount ,TA-SPARKS 200 NTH MCCARRAN BLVD  ,SPARKS ,NV  , , ,17.88, , 
12/30/2015,21:18,FP TOTAL ,TA-SPARKS 200 NTH MCCARRAN BLVD  ,SPARKS ,NV  , , ,-118.59,-1,52054.17
12/30/2015,22:16,FP #2S ,PETRO FUEL #30 I-65 EXIT 86  ,GLENDALE ,KY  ,139.87,2.22,-310.36,-1, 
12/30/2015,22:16,FP Discount ,PETRO FUEL #30 I-65 EXIT 86  ,GLENDALE ,KY  , , ,69.52, , 
12/30/2015,22:16,FP TOTAL ,PETRO FUEL #30 I-65 EXIT 86  ,GLENDALE ,KY  , , ,-240.84,-1,51812.33
