,,,,,,,,,,
7/23/2015,17:42,FP Discount ,TA-LAKE STATION 1201 NORTH RIPLEY STREET   ,LAKE STATION ,IN  , , ,48.83, , 
7/23/2015,17:42,FP TOTAL ,TA-LAKE STATION 1201 NORTH RIPLEY STREET   ,LAKE STATION ,IN  , , ,-333.53,-1,41016.63
7/23/2015,21:16,FP #2S ,FLYING J #748 600 WEST 750 NORTH  ,WILLARD ,UT  ,115.11,2.76,-317.61,-1, 
7/23/2015,21:16,FP OTH ,FLYING J #748 600 WEST 750 NORTH  ,WILLARD ,UT  ,16.44,3,-49.32, , 
7/23/2015,21:16,FP RFR ,FLYING J #748 600 WEST 750 NORTH  ,WILLARD ,UT  ,37.06,2.76,-102.27, , 
7/23/2015,21:16,FP TOTAL ,FLYING J #748 600 WEST 750 NORTH  ,WILLARD ,UT  , , ,-469.2,-1,40546.43
7/23/2015,21:59,FP #2S ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  ,122.98,2.87,-352.82,-1, 
7/23/2015,21:59,FP OTH ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  ,5.91,2.86,-16.91, , 
7/23/2015,21:59,FP Discount ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,76.86, , 
7/23/2015,21:59,FP TOTAL ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,-292.87,-1,40252.56
