"Date","Ref/Check","Description","Amount","Balance","Memo","Category"
11/30/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",501,629.03,,
11/30/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",650,1279.03,,
11/30/2015,,"IB Transfer W/D IB TR TO ACCT *3068 Transfer Online from",-501,778.03,,
11/30/2015,,"ACH Payment MANAGEMENT SERV ONLINE TRF",-688.5,89.53,,
11/30/2015,,"Accr Earning Pymt Added to Account",.03,89.56,,
11/30/2015,,"Daily Ledger Bal",,89.56,,
12/02/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",741.25,830.81,,
12/02/2015,,"ACH Payment MANAGEMENT SERV ONLINE TRF",-100,730.81,,
12/02/2015,,"ACH Payment MANAGEMENT SERV ONLINE TRF",-641.25,89.56,,
12/02/2015,,"Daily Ledger Bal",,89.56,,
12/08/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",801,890.56,,
12/08/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",6000,6890.56,,
12/08/2015,,"ACH Payment MANAGEMENT SERV ONLINE TRF",-100,6790.56,,
12/08/2015,,"ACH Payment MANAGEMENT SERV ONLINE TRF",-418.5,6372.06,,
12/08/2015,,"ACH Payment MANAGEMENT SERV ONLINE TRF",-3000,3372.06,,
12/08/2015,,"Daily Ledger Bal",,3372.06,,
12/09/2015,,"ACH Payment MANAGEMENT SERV ONLINE TRF",-3000,372.06,,
12/09/2015,,"Daily Ledger Bal",,372.06,,
12/15/2015,,"ACH Deposit MANAGEMENT SERV ONLINE TRF",4000,4372.06,,
12/15/2015,,"ACH Payment MANAGEMENT SERV ONLINE TRF",-100,4272.06,,
12/15/2015,,"ACH Payment MANAGEMENT SERV ONLINE TRF",-607.5,3664.56,,
12/15/2015,,"Daily Ledger Bal",,3664.56,,
12/24/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",750,4414.56,,
12/24/2015,,"ACH Payment MANAGEMENT SERV ONLINE TRF",-100,4314.56,,
12/24/2015,,"ACH Payment MANAGEMENT SERV ONLINE TRF",-654.75,3659.81,,
12/24/2015,,"Daily Ledger Bal",,3659.81,,
