,,,,,,,,,,,
,12/27/2015,2:02,FP #2S ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,77.23,2.37,-182.8,-1, 
12/27/2015,16:26,FP Discount ,PETRO FUEL #31 6595 N HOLLYWOOD BLVD  ,LAS VEGAS ,NV  , , ,66.87, , ,
12/27/2015,16:26,FP TOTAL ,PETRO FUEL #31 6595 N HOLLYWOOD BLVD  ,LAS VEGAS ,NV  , , ,-316.7,-1,71878.48,
12/27/2015,17:07,FP #2S ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,30.5,2.36,-71.94,-1, ,
12/27/2015,17:07,FP Discount ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,21.11, , ,
12/27/2015,17:07,FP TOTAL ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,-50.83,-1,71826.65,
12/27/2015,17:15,FP #2S ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,158.63,2.36,-374.2, , ,
12/27/2015,17:15,FP Discount ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,109.77, , ,
12/27/2015,17:15,FP TOTAL ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,-264.43, ,71562.22,
12/27/2015,20:09,FP #2S ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,134.05,2.36,-316.22,-1, ,
12/27/2015,20:09,FP OTH ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,7.89,3,-23.65, , ,
12/27/2015,20:09,FP Discount ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,92.76, , ,
12/27/2015,20:09,FP TOTAL ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,-247.11,-1,71314.11,
12/27/2015,21:11,FP #2S ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,144.91,2.58,-373.73,-1, ,
12/27/2015,21:11,FP Discount ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,97.96, , ,
12/27/2015,21:11,FP TOTAL ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,-275.77,-1,71037.34,
