,,,,,,,,,,
Date    ,Time,Description,Location,City,State,Product Qty,Unit Cost,Amount,        Fee,Balance
7/25/2015,16:50,FP TOTAL ,TA-GRAND ISLAND WEST 8033 W HOLLING RD  ,ALDA ,NE  , , ,-222.87,-1,37445.19
7/25/2015,16:57,FP #2S ,PETRO FUEL #62 / YORK 4700 S LINCOLN  ,YORK ,NE  ,129.18,2.56,-330.58,-1, 
7/25/2015,16:57,FP Discount ,PETRO FUEL #62 / YORK 4700 S LINCOLN  ,YORK ,NE  , , ,35.78, , 
7/25/2015,16:57,FP TOTAL ,PETRO FUEL #62 / YORK 4700 S LINCOLN  ,YORK ,NE  , , ,-294.8,-1,37149.39
7/25/2015,17:05,FP #2S ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,142.6,2.6,-370.63,-1, 
7/25/2015,17:05,FP OTH ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,5.15,2.86,-14.72, , 
7/25/2015,17:05,FP RFR ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,18,2.6,-46.79, , 
7/25/2015,17:05,FP Discount ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,28.11, , 
7/25/2015,17:05,FP TOTAL ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,-404.03,-1,36744.36
7/25/2015,22:37,FP #2S ,FLYING J #510 810 NORTH 800 WEST  ,SCIPIO ,UT  ,175.09,2.7,-472.58,-1, 
7/25/2015,22:37,FP OTH ,FLYING J #510 810 NORTH 800 WEST  ,SCIPIO ,UT  ,6.91,2.8,-19.35, , 
7/25/2015,22:37,FP TOTAL ,FLYING J #510 810 NORTH 800 WEST  ,SCIPIO ,UT  , , ,-491.93,-1,36251.43
7/25/2015,23:18,FP #2S ,TA-ALBUQUERQUE 2501 UNIVERSITY BLVD.  ,ALBUQUERQUE ,NM  ,145.62,2.68,-390.12,-1, 
7/25/2015,23:18,FP Discount ,TA-ALBUQUERQUE 2501 UNIVERSITY BLVD.  ,ALBUQUERQUE ,NM  , , ,50.68, , 
7/25/2015,23:18,FP TOTAL ,TA-ALBUQUERQUE 2501 UNIVERSITY BLVD.  ,ALBUQUERQUE ,NM  , , ,-339.44,-1,35910.99
