"Date","Ref/Check","Description","Amount","Balance","Memo","Category"
11/15/2015,,"Analysis Charge",-25,-0.66,,
11/15/2015,,"Daily Ledger Bal",,-.66,,
11/16/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",60,59.34,,
11/16/2015,,"Daily Ledger Bal",,59.34,,
11/27/2015,,"IB Transfer Deposit IB TR FROM ACCT *0817 Transfer Online to D",100,159.34,,
11/27/2015,,"IB Transfer Deposit IB TR FROM ACCT *0817 Transfer Online to D",688.5,847.84,,
11/27/2015,,"Daily Ledger Bal",,847.84,,
11/30/2015,,"IB Transfer W/D IB TR TO ACCT *3068 Transfer Online from",-688.5,159.34,,
11/30/2015,,"Accr Earning Pymt Added to Account",.03,159.37,,
11/30/2015,,"Daily Ledger Bal",,159.37,,
